Course,Job_Titles
Absolute Informational Management Principles,"Managing Executive,  Senior Projects Manager Businss Developme,  E-Governance Consultant,  Senior Project Manager,  Head Operations Consultant,  IT Project Manager E-Commerce Manager Test Manag,  Lecturer,  Project Manager Intranet Development Administrato"
Adabas Fundamentals,"Systems Analyst,  Systems Developer, Senior Developer,  Software Architect,  Analyst Programmer,  Web Systems Developer,  Web Developer,  Developer"
Admission to persuit a Bachelors,"Administrative data analyst software engineer.,  Application Developer,  Web Developer"
Adobe Analytics Certified Expert,"Web Analyst,  Digital Manager,  Head of Information Systems,  Head of Marketing, Developer PHP,  Analyst Programmer,  Junior Analyst Developer"
Adobe Photoshop Cs,Sales Consultant
Adobe Photoshop Cs & In Design Cs,"Graphic Designer & Developer,  Maintenance Developer & Designer,  Maintenance Developer,  Web Master,  Graphic Design & Admin Assistant"
Adv. PG Dip. Business Project Management,"Business Architect,  Project Manager,  Senior Business Analyst,  Information Architect,  Business Modeller, MIS Consultant,  Developer"
Advanced Buainess Analyst,"Business Analyst,  busineas intelligence developer,  Junior Data Analyst, junior software developer,  Volunteered junior software developer"
Advanced Certification in Leadership,"Data,  BI Developer,  ETL Developer"
Advanced Diploma - Events Management,"Business Development Manager,  Account Manager,  Account Executive,  Marketing &amp; Sales Manager,  Key Account Manager, Business Developer/Market Intelligence,  Marketing & Events Coordinator,  Car Rental Sales Agent,  Brand Ambassador/Brand Manager"
Advanced Diploma in Business Information Technology,"Business Analyst,  C# Developer,  SQL Developer,  PHP Developer,  Mobile Developer,  Java Developer,  Oracle JD Edwards"
Advanced Diploma in business project management,"IT Service Manager,  Helpdesk\\ Service Desk Manager,  Customer Service Manager,  Project Manager IT,  Project Administrator,  Incident\\ Problem Manager,  Change Manager\\ Coordinator"
Advanced Diploma in Cumputer studies,"IT Manager,  Analyst Programmer,  Software Developer,  Applications Support Analyst, IT Manager,  Systems Developer,  Computer Teacher,  Application Programmer"
Advanced Diploma In Information Processing,"Analyst Programmer,  Database Developer,  SQL Developer,  Database Developer,  SQL Developer, Computer Programmer,  Computer Lecturer,  Computer Operator,  Data Capture Clerk"
Advanced Diploma in Information Resource Management,"Analyst Developer,  Application Support Analyst,  Programmer, Programmer 1"
Advanced Diploma in Information Resource Management,"Project Manager, Project Coordinator,  Systems Administrator,  Project Administrator,  Intern Developer"
Advanced Diploma In Information Technology-Programming,"Java Developer,  Designer"
Advanced Diploma in Software Engineering,"PHP Web Developer,  Senior Web Developer, PHP Web Developer,  Website Developer"
Advanced Diploma In Software Engineering,"Systems Analyst,  Software Developer,  Software Developer, Credit Office Associate"
Advanced Diploma Information resource management,"SAS,  Junior Data analyst,  Junior System Developer,  Junior BI Developer,  Junior Business Analyst"
Advanced Diploma Module in Project Management,"Project Manager,  Database Team Leader, Systems Engineer,  Network Support Specialist,  Director,  Analyst Programmer"
Advanced Information Technology Certificate,"Senior Applications\\SQL Developer, Senior Implementation Specialist,  SQL Developer,  Software Developer,  Software Implementation Specialist,  General Temp"
Advanced Java,"Desktop Engineer,  Developer,  Sales Assistant"
Advanced Level,"Senior Web Developer,  PHP Developer,  Senior PHP Developer,  Web Developer,  Analyst Programmer,  IT Manager,  IT Project Manager"
Advanced Natural Programming,"Natural Programmer,  Cobol Programmer,  Cobol Developer,  Natural/Adabas, Analyst Programmer,  Analyst Programmer,  Project Leader,  Analyst Programmer,  Analyst Programmer,  Programmer"
Advanced Project Management,"Manager/Executive,  General/Senior Manager,  Program/Projects Manager,  General/Senior Manager,  Program/Projects Manager, Corporate Specialist Senior Business Analyst,  Senior Business Analyst Solution Designer,  Senoir Analyst Programmer,  VB Developer BI Report Writer,  Programmer Part-Time,  Research & Development Officer,  Computer Science Lcturer"
Advanced windows Store Apps using HTML5 with JavaScript and CSS3,"software developer, Junior Software Developer,  JNR Software Developer"
Advertising,"Anything in marketing or Administration, Store Manager,  Office Manager and PA for the,  Senior Manager Team Developer,  Flagship Store Manager,  Store Manager,  Shop Assistant,  Waitress"
Aeronautics & Control Systems,Software Developer
A-Level,"Trainee,  Trainee"
Android Mobile Developer,"Web Developer,  User Experience Designer,  Android Mobile Developer"
Applied Project Management,"Oracle Developer,  Tutoring and Working in the Laboratory"
Applied Project Management,"Software Developer,  Junior Software Developer"
Applied Project Management In An It Environment,"Programmer Developer,  Labourer,  Website Design Assistant Developer Consultant,  Driver,  Examination Assistant"
"Ar System (Administrator) BmcS Action Req. System""",Contractor
Architecting on AWS (Associate) ,"Software Architect,  Python Developer,  Senior Python Developer, Senior Developer,  Senior Developer,  Developer,  Developer,  Web Development,  System Administrator,  Apprentice Toolmaker"
As400,"Software Developer, Supt Computer Services,  Analyst Programmer,  Teller"
Asp Certificate,"ASP Programmer,  GIS Operator"
Assessor,"Instructional Designer/Multimedia Specialist,  E-Learning,  Content Developer,  E-Learning, Instructional Designer Content Developer,  Instructional Designer,  E-Learning Content Developer,  Wed Developer Intern"
Assessor and Moderator,"Training Manager, Training Manager Group Training Manager"
Astronautics and Space Engineering,Systems Engineer
Attended Leadership Development Program (Nqf 5),"Software Developer, Team Leader Analyst Programmer,  Principal Software Developer,  Developer Consultant,  Minister and Freelance Software Developer,  Minister and Freelance Software Developer,  Minister,  Senior Computer Operator,  Student Computer Operator"
AWS Technical Essentials,"System Administrator,  Systems Engineer,  IT Engineer,  IT Administrator,  IT Support,  Support Technician,  Network Support Engineer,  IT Support Engineer, Helpdesk Technician,  Desktop Support Technician,  Waiter"
B Sc Honors (Chemistry),"Tutor,  Promoter,  Sales Assistant,  Laboratory Demonstrator,  Sales Assistant,  Sales Assistant"
B Sc Information Technology,".NET C# Developer,  Microsoft Senior BI Developer"
B SC Internet Communications,Web Developer
B Soc Sci (Information Technology),"Web Developer,  ASP.NET Developer,  C# Developer, Junior Software Developer"
B- Tech Food Science and Nutrition,"Junior food technologist, Supervisor Assistant"
B tech Honours,"business analyst, SME (Manager)/ Senior Test Analyst (Capital Market Application),  Senior Business Analyst,  Team Leader Analyst Developer Tester (Capital Market Application)"
B.A Social Science,"Community Developer,  Student Adviser"
B.App.Soc.Sci Degree,"Human Resources,  Recruitment and Selection,  Administrator,  Recruitment and Selection,  Administrator, Talent Acquisition Specialist,  Recruiter,  Account Developer,  Recruitment Consultant Part-Time,  New Business Developer IT Sales,  Recruitment Consultant Education Sector,  Recruitment Consultant"
B.Com,"Business Analyst,  Analyst,  MIS/Data Analyst,  Analyst, Data Mis Analyst,  Cash Administrator,  Java Developer Intern"
B.Com,"CIO,  Senior IT Manager,  Senior IT Manager, Senior IT Manager,  Development Consultant,  Senior Developer Project Manager,  Senior Developer Project Manager,  Development Consultant,  Developer,  E-Commerce Development Consultant,  Developer Consultant"
B.Com,"I.T. Manager,  IT Systems Support Coordinator,  IT Systems Support Coordinator, Manager I.T. Head of Digitization Department,  Website Developer Technical Support Coordinator,  Data Processing Officer,  Software Developer,  Graphics & Computers Systems Coordinator,  Computer Operator"
B.Com,"Senior Business Analyst,  Consultant,  Consultant, Consultant,  Consultant"
B.Com,"Software Architect,  Technical Lead,  Technical Lead, Architect Developer,  Architect Technical Lead,  Entrepreneur Developer,  Senior Developer,  Senior Developer Architect,  Entrepreneur Developer,  Developer Consultant,  Entrepreneur Developer"
B.Com Economics,"management, Financial Adviser,  Department Manager,  Operation Management Development Programmed Trainee,  Call Centre Agent Debt Collector"
B.Com Financial Management,"Assistant Cost Accountant,  Assistant Accountant,  Junior Accountant,  Financial Manager,  Junior Accountant,  Financial Manager"
B.Com Financial Management,"Senior Project Manager, Technology Manager Project Manager,  Developer,  Bookkeeper and Finance Administrator,  Software Support Coordinator,  Temp Kelly Girl,  Manageress Damelin Canteen Owned by A&A"
B.Com Honours Degree Information Systems,"Functional Analyst, Document Developer Pick N Pay"",  IT Coordinator,  SAP Analyst Accounts Payable,  Change Management Analyst,  Change Management Analyst"
B.Com Hons (Economics),Casino Croupier
B.Com Informatics,"Analyst Developer,  C#.NET Developer,  .NET API Developer,  Solutions Architect,  Analyst Developer,  BI Developer, Manager IT,  Senior Manager,  Junior Developer,  .NET Developer VB & ASP,  Software Developer Vb.Net & ASP.NET,  Lab Assistant,  Service Desk Consultant and Customer Serve,  Data Capturer"
B.Com Informatics,"C# / Powershell Developer,  SCCM Specialist"
B.Com Information Systems,"Project Leader,  Programmer Developer,  Financial Assistant"
B.Com Intrapreneurial Management,N/A
B.Com IT,Developer
B.Com IT degree,"Snr BI Debeloper,  SAS ETL Deveoper,  Snr SAS Analyst Developer,  Data Quality Consultant, SAS ETL Developer,  SAS Analyst Developer,  SAS Analyst Developer,  SAS ETL Developer,  SAS BI Developer,  SAS Analyst Developer,  SAS Analyst Developer,  SAS ETL Developer"
B.Com(IT) - (Information Systems & Technology,"Analyst,  GIS developer,  Business Analyst,  Developer"
B.Comm (Computer Science),"Technical or Team Lead, Senior Developer Team Lead Risk Development,  Developer"
B.Comm (Information Systems),"Business Analyst, Computer Science Demonstrator"
B.Comm(Information Systems),Visual Basic Programmer
B.E Information Technology,Software Trainee Developer
B.E-Computer Science and Engg.,"Software Developer,  Software Engineer,  ASP.NET Developer"
B.Ing (Industrial Electronics),Program Developer
B.Is (Information Science) (It),Caddy
BA Communicaiton Science,Communication
Ba Communication,Graphic Designer | Web Developer | Brand Manager | Social Media
Ba Communications,"Event Manager,  Event Manager,  Event Manager"
BA Computer Science,"Software Development Manager,  senior developer,  Archtect"
BA Degree,"Category Manager,  Product Manager,  Product Manager"
BA HDE,"Training,  Facilitator,  Examiner,  Education,  HR,  Knowledge Management,  Leader,  Lecturer,  Lecturing,  Manager"
Ba Human Resources Management/ Psychology,"Human Resources Practitioner,  Business Developer"
BA Social Work,"Centre Manager,  Administrator PA,  Operations Head,  Assessor,  Project planner"
Ba Sports Sciense,"Merchandice Sales Manager,  FMCG Stock Manager,  Greenkeeper,  Golf Steward"
Baccalaureus Technologiae,"PHP Developer,  Web Developer"
Bachelor Computer Science,"Developer,  Developer"
Bachelor Computer Science/Information Technology,"Loan Broker Call Centre Executive,  Software Developer"
Bachelor degree in Science,"Web designer,  web developer,  front-end developer,  UI UX Designer"
Bachelor in Computer Science,"Java,  Gos,  JavaScript,  Guidewire, Senior programmer analyst / Technical leader / Team leader,  Senior programmer analyst / Technical Leader,  Semi senior programmer analyst,  Junior Developer"
Bachelor in Economics,"Senior Developer,  Senior Developer,  Senior Developer,  Senior Developer SNR Developer,  Senior Developer"
Bachelor in Information Technology (4 Year),"Senior C# Developer, Intermediate Developer,  Junior Developer,  Software Developer"
Bachelor in Information Technology 4th Year Honours - Thesis Pending15,Systems Developer and Programmer
Bachelor in Technology,.Net Developer
Bachelor in Technology,".NET Developer,  C#.NET Developer, Software Developer"
Bachelor in Technology,"Analyst,  Database admnistrator,  Tester,  Developer,  Database admnistrator"
Bachelor in Technology,Business Analyst
Bachelor in Technology,"C# Developer,  .NET Developer"
Bachelor in Technology,"C#.NET Developer,  ASP Developer,  SQL and C#,  C# Web Developer,  .NET C# Developer,  C# .NET Developer,  C# Systems Developer,  Software Engineer C#.NET"
Bachelor in Technology,Developer
Bachelor in Technology,"java developer,  angular js,  PL SQL Developer,  Javascript Developer,  SQL Developer,  Java Developer"
Bachelor in Technology,Oracle SOA Developer
Bachelor in Technology,Senior C# Developer
Bachelor in Technology,Senior Consultant
Bachelor in Technology,"Senior Developer, Software Developer"
Bachelor in Technology,"Senior Sharepoint Developer,  Sharepoint Developer"
Bachelor in Technology,Senoir S/W Enginneer
Bachelor in Technology,Software Developer
Bachelor in Technology,Software Developer
Bachelor in Technology,"Software Tester,  Business Analyst,  Developer"
Bachelor in Technology,"SQL DBA,  SQL Developer,  SQL Production Support,  .NET Developer,  Javascript Developer,  Senior C# ASP.NET Developer"
Bachelor in Technology,"Template Developer,  Data Analyst,  Database Developer,  Business Intelligence Developer,  Business Intelligence Analyst,  Content Developer,  Data Administrator, Intern"
Bachelor in Technology,"Web Developer,  Student Inservice Training,  Cashier Till Controller Office Assistance Data CA"
Bachelor in Technology ,"Junior Business Analyst,  Systems Analyst,  Software Consultant, IT Intern,  Junior Developer,  IT Technician,  Sales Rep"
Bachelor in Technology (Information Technology),Web Developer frontend and backend
Bachelor in Technology : Information Management,"Developer,  C# Developer,  ASP.NET Developer,  Vb.Net Developer, BI Analyst Developer,  Specialist Analyst Programmer,  Analyst Programmer,  NET Developer Application Programmer,  Graduate .NET Developer"
Bachelor in Technology : Information Technology,"Analyst / Developer,  Senior Developer,  Developer,  Senior Oracle Developer,  Senior Developer,  Developer, Developer,  Analyst Programmer,  End-User Consultant Technician"
Bachelor in Technology : IT,"test analyst,  developer, Lecturer"
Bachelor in Technology Business Administration,"ETL Developer,  Data warehouse developer, Programmer,  Student Programmer,  Student Tutor"
Bachelor in Technology Computer systems,"system engineer,  programmer,  Software Developer,  Junior Software Developer,  Junior Software Engineer"
Bachelor in Technology Computer systems Engineering,"techician,  Developer, IT Trainee"
Bachelor in Technology Degree,"Database Developer,  Trainee Software Developer,  Applications Development Manager"
Bachelor in Technology Degree,"Lead Software Developer,  Team Leader, Senior Software Developer,  Software Developer,  Software Developer"
Bachelor in Technology Degree - ICT,"Software Developer,  Business Analyst,  Business Systems Analyst,  Software Architect"
Bachelor in Technology Degree in Multimedia Design,"Front-End Developer,  Web Designer,  HTML / CSS Developer"
Bachelor in Technology Electronic Engineering - Process Instrumentation,"Electronic Engineer,  Design Engineer,  Software Developer,  Process Engineer,  Design Engineer, Junior Service Engineer"
Bachelor in Technology In Industrial Engineering,"Industrial Engineer,  Project Management,  Business Analyst,  Junior Industrial Engineer, Industrial Engineering Trainee"
Bachelor in Technology In Information Technology,"Business Analyst,  Product Lead,  Systems Analyst"
Bachelor in Technology in Information Technology,"Business Intelligence Developer,  Database Developer,  Front End Web Developer,  Report developer,  SQL Developer,  SQL Database Administrator"
Bachelor in Technology in Information Technology: Business Applications,"Junior C# Developer,  Web Developer,  .NET Developer,  Database Administrator,  Javascript Developer,  Data Capturer,  Intern Developer"
Bachelor in Technology in IT Software Development,"Junior Software Developer,  Software Developer"
Bachelor in Technology Industrial Engineering,"Industrial Engineer,  Lean Engineer,  Lean Engineer, Industrial Engineer,  Projects Co-Ordinator,  Sales Rep."
Bachelor in Technology Information Technologt,"Business Analysis,  System developer,  Business Intelligence"
Bachelor in Technology information Technology,"ABAP Developer,  SAP ABAP Consultant, Trainee Systems Analyst,  Intern"
Bachelor in Technology Information Technology,"bi developer,  bi consultant,  oracle developer,  bi analyst"
Bachelor in Technology Information Technology,Full Desktop Management Support for Western Region
Bachelor in Technology Information Technology,"IT Developer/Programmer,  Business/Systems Analyst,  Business/Systems Analyst, Junior Programmer,  Junior Programmer Volunteering,  Promoter,  Computer Teacher,  Trainee"
Bachelor in Technology Information Technology,Java Developer
Bachelor in Technology Information Technology,"Oracle PL/SQL Developer,  Business Intelligence Developer"
Bachelor in Technology Information Technology,"Programmer/Developer,  System Analyst,  Software Developer C#,  Tech Lead C#,  Solutions Architect,  C# Web Developer,  Mobile Developer,  System Analyst,  Web Designer, Systems Software Validation Engineer,  Technician"
Bachelor in Technology Information Technology,"SAP ABAP Developer/SAP Workflow Developer,  SAP Workflow Developer, ABAP Workflow Developer,  ABAP Workflow Developer,  Information Systems JNR Executive,  Lecturer,  Lab Assistant,  Assistant Programmer & Researcher"
Bachelor in Technology Information Technology,"SAP PM Functional Support Analyst,  Database Administrator,  Data Analyst, Assistant Software Developer,  Technical Support Intern"
Bachelor in Technology Information Technology,"SAS Programmer or Clinical Data Programmer, Development Software 1 Supplementary Instructor,  Technical Manager"
Bachelor in Technology Information Technology,"Software Developer,  C# Developer,  Mobile Developer,  SQL Developer"
Bachelor in Technology Information Technology,"Web Services Manager,  Web Developer,  Programmer,  Trainee Programmer"
Bachelor in Technology Information Technology: Software Development,"Senior Programmer,  Analyst Programmer,  Programmer,  Web Developer,  Web Developer"
Bachelor in Technology Information Tecnology,"Mobile Developer,  C# Developer,  Angularjs,  Java,  Agentry, Mobile Developer"
Bachelor in Technology IT,"Android developer,  java Developer,  Networks Engineer,  Networking,  Server,  Mainframe Operator,  Desktop Engineer"
Bachelor in Technology It - 2nd Year,"Analyst Developer,  Web Developer,  Software Developer,  Technical Trainer"
Bachelor in Technology IT: Software Engineering,"Senior Business Analyst,  Data Analyst, MCTS Trainee Service Desk Call Logger,  Developer Business Analyst"
Bachelor in Technology Level 5 Information and Technology,"Graphic Designer,  Junior Web Designer, Graphic Designer / Developer / Lecture"
Bachelor in Technology Software Development,"SAP BI/BW Developer,  Support,  Call Centre"
Bachelor in Technology(Computer Science),Senior Java Developer
Bachelor in Technology(CSIT),Microsoft Senior BI Developer
Bachelor in Technology(Information Technology-Software Development),"Junior Developer,  Application Developer"
Bachelor in Technology(IT),"ETL Developer,  DBA/Data warehousing,  Informatica Developer"
Bachelor in Technology.,Java Technical Lead
Bachelor in Technology:  Computer Systems Engineering,"BI Developer, Lab. Assistant,  Software Engineering Intern"
Bachelor in Technology: Computer systems engineering,"software developer,  Server and network administrator"
Bachelor in Technology: Food Technology,"Food technologist,  New product development,  auditor, Marketer & Technical Liaison,  Quality Assurance Manager Haccp Team Leader,  New Product Developer Technologist,  Food Technologist,  Quality Controller"
Bachelor in Technology: Information System,"Web Developer,  Programmer,  Programmer"
Bachelor in Technology: Information Technology,"IT Support,  database administration,  junior java developer,  junior tester,  data analyst,  business intelligence analyst"
Bachelor in Technology: Information Technology,"Senior Software Developer,  Lead Software Developer, Intern Software Developer,  Intern Software Developer"
Bachelor in Technology: Information Technology (Software Development),"Senior Dynamics CRM Developer, Intern Developer (CRM)"
Bachelor in Technology:Information Technology,"Oracle Developer,  Web Developer,  Business Analyst,  Web Developer, System Analyst Programmer"
Bachelor in Technology:It,Web Developer
Bachelor Information Technology,Software Developer Intern
Bachelor Of Arts,OPERATIONAL OFFICER
Bachelor of Arts (Economics),"SAP Specialist,  Support Specialist,  Procurement,  Administration,  Support Coordinator,  Business Process Specialist,  Support Specialist,  Support Specialist, Site Support Consultant SAP,  Systems Administrator /Buyer,  Warehouse Coordinator,  Web Developer"
Bachelor Of Arts Communication Science,"Web Designer Developer,  Electronic Information Officer,  IT Co-Ordinator,  Personal Assistant,  Regional Personal Assistant,  Personal Assistant,  Personal Assistant,  Cashier"
Bachelor of Arts Degree: Visual Multimedia,"Graphic Designer,  Web Designer, Graphic & Web Designer Internship"
Bachelor of Arts in  MIS ( Management Information Systems ),Web Developer
Bachelor of Arts: Communication Science,"Communication Manager,  Senior Manager,  Head of Communications,  Content Manager,  Communication Manager, Editor E-Communications,  Member Communications Co-Ordinator,  Web Designer Developer,  Electronic Information Officer,  IT Coordinator,  Personal Assistant to the SAICA Board,  Regional Personal Assistant,  Personal Assistant"
Bachelor Of Business Admin,"Instructional Designer,  Learning Designer and Developer,  Training Manager,  Faciltator"
Bachelor of Business Administration,"Management,  New Business Developer,  Key Accounts Manager/Account Manager,  Sales Manager,  Call Centre Manager,  Customer Service Manager,  Operations Manager,  Key Accounts Manager/Account Manager, Key Account Manager New Business Developer,  Sales Manager - Call Center,  Key Account / New Business Manager"
Bachelor Of Business And Commerce Degree In Informatics,Web Developer/Database Admin/Programmer
Bachelor of Commerce,"Director,  Financial Manager, Business System Analyst,  DC Support Specialist,  Technical Developer"
Bachelor of Commerce,Peoplesoft Developer Team Leader
Bachelor of Commerce,"Senior Project Manager,  Programme Manager, Q Data Consulting Developer Team Leader"
Bachelor of Commerce,Specialist Manager
Bachelor Of Commerce - Honours,"Network and Computer Technician,  Sales Consultant"
Bachelor of Commerce - Informatics,"C# Developer,  .Net Developer,  Information Specialist,  Information Architect,  Data Warehousing,  Business Intelligence,  .Net Developer, Intermediate Developer C#,  Developer,  Developer,  Desktop Support Engineer"
Bachelor Of Commerce (Honours) In Information Systems,SAS Consultant
Bachelor Of Commerce (Honours) Information Systems & Technology,"Statistical Analyst,  SAS Developer,  SQL/TSQL Developer,  VBA Developer,  Data Analyst,  reporting,  graphs,  data extracts,  Data quality analysts,  Database administrators, Linux System Administrator,  Innovation and Technology Intern"
Bachelor of Commerce (Honours):Informatics,"Computer Science JNR Lecture,  Computer Lab Administrator and Image Tester"
Bachelor of Commerce (Hons): Marketing Management,"Strategist,  Marketing,  Communications,  Communications, Operations Manager,  Product Manager,  Marketing Consultant Self-Employed,  Panel Manager,  Junior Researcher Marketing Assistant Webmaster,  Content Developer"
Bachelor Of Commerce (Information Systems),"SEO Specialist,  SEO Manager,  SEO Strategist,  SEO Account Manager,  SEO Director,  Business Analyst (digital),  Online/Digital Marketing, SEO Content Account Manager,  SEO Developer,  Search Executive,  Software Developer,  Business Analyst Group Systems Development"
Bachelor of Commerce (Information Systems) Incomplete,Programmer
Bachelor of Commerce Business Informatics,"BI Developer,  OBIEE,  Qlikview,  Tablea], SQL developer"
Bachelor of Commerce Degree In Informatics,"Database,  Internet Database Administrator,  Sales Manager,  Dance Teacher,  Artisan Electronics Technician,  Sales Consultant,  Door-To-Door Sales Training Manager Sales Trainer"
Bachelor of Commerce Honours (Business Management),Shop Assitant Manageress
Bachelor of Commerce Honours Business Informatics (Part-Time),"ICT Business Analyst,  Systems Analyst,  Consultant, Sales,  Sales"
Bachelor of Commerce Honours Informatics,"Developer,  Analyst,  Application Support,  Analyst,  Application Support, Developer,  Developer,  GIS Junior Developer,  Data Capturer"
Bachelor of Commerce Honours Information Systems,"C# Developer,  Java Developer"
Bachelor of Commerce Honours Information Systems,"Product Manager,  Product Owner,  Business Analyst,  Systems Analyst,  IT Analyst"
Bachelor of Commerce Honours(Business Informatics),"C# Developer,  Sharepoint Developer,  Sharepoint Developer, Sharepoint Administrator Developer,  Cadet Graduate Programme,  Student Assistant"
Bachelor of Commerce Hons,"Systems Support Analyst,  Branch Manager,  Senior Computer Programmer"
Bachelor of Commerce Hons Business Management (Financial Manage.),"Market Intelligence Fund Analyst,  Graduate Development,  House Committee Member Portfolio Academics,  Accounts Assistant"
Bachelor of Commerce Hons Information Systems,Edi & E-Business Consultant
Bachelor of Commerce Hons Information Systems and Technology,"Junior Systems Analyst,  Junior Business Analyst,  Junior Software Developer, Software Developer"
Bachelor of Commerce HONS INFS,Software Developer
Bachelor of Commerce Hons(Business Informatics),"IT Auditor,  IT Security, Web Developer"
Bachelor of Commerce Human Resource,"Human resource manager,  human resource assistant,  Administrator,  Operations Manager,  Financial Planner,  Sales Manager,  human resource assistant,  Administrator, Financial Adviser,  Financial Adviser,  Learner Broker,  Senior Business Developer,  Administrative Assistant"
Bachelor of Commerce In Informatics,"SQL Developer,  IT Manager,  Business Analyst,  IT Manager,  Business Analyst, SQL DBA Developer,  Heat Administrator,  Network Administrator,  IT Support,  Operator"
Bachelor of Commerce Informatics,"Developer, Developer,  Developer,  Programmer,  Programmer,  Programmer,  Commercial Accounts Officer"
Bachelor of Commerce Informatics,"SQL Developer,  BI Developer,  MS BI Developer,  Data Analyst, SQL Developer Data Base Administrator,  Mis Assistant,  DBA"
Bachelor of Commerce Informatics 3rd Year,Designer
Bachelor of Commerce Informatics Honours,"IT Manager,  IT Management,  Software Engineer,  Development Manager"
Bachelor of Commerce Information Systems,"Oracle PL/SQL Developer,  C#,  System analyst,  System analyst/IT Manager, Computer Practice Lecturer,  Network System Administrator"
Bachelor of Commerce Information Systems,"System Analysist,  System Programming,  System Testing,  Websie Development, Dining Hall Monitor"
Bachelor of Commerce It Honours,"BI analyst,  MI analyst,  MI analyst, Sas BI Analyst,  Sas BI Trainee Internship,  Computer Lab Assistant"
Bachelor of Commerce ITM,"Analytics, Data Analyst"
Bachelor of Commerce Law,"New Business Manager,  Strategic Account Manager,  Innovations Manager,  Strategic Account Manager,  Innovations Manager, Business Sales Executive,  Corporate Account Manager"
Bachelor of Commerce Management,"Bank Teller One,  Nedbank Teller"
Bachelor of Commerce Management,"Manager,  Retail,  Market Developer,  Market Manager"
Bachelor of Commerce Marketing,"Promotions Co-Ordinator,  Content Developer"
Bachelor of Commerce Marketing Management,"Marketing,  Sales, Hostess,  Stylist"
Bachelor of Commerce Marketing Management (General Business Major),"Strategic / Project Manager,  Financial Assistant Manager,  Manager, Bar Tender and Part-Time Manager,  Fly-Fishing Guide Instructor and Store Clerk,  Farm Assistant,  Marketing Management,  Sales Clerk"
Bachelor of Commerce Statistics,"Statistics,  Data Analyst, Intern Teacher,  Teacher"
Bachelor of Commerce(Hons) Informatics,"Programmer,  Computer Technician,  Teacher"
Bachelor of Commerce: Marketing,"None, Shop Floor Assistance,  In-Service Trainee,  Cashier"
Bachelor of Commerce-Computer Science,Assistant Manager
Bachelor of Commercem,"Analyst Programmer, Analyst Programmer,  Programmer,  Senior Business Analyst"
Bachelor of Commercem,"BI Consultant BI Developer,  Data Warehouse Developer,  Data Architect,  Senior SQL Developer,  Demand Planning and Replenishment Anlyst and Developer,  ASP.NET MVC Development, Technical Programmer"
Bachelor of Commercem Information systems,"CIO,  IT Development Manager, Systems Analyst Programmer,  Integration Engineer,  Data Capture"
Bachelor of Commercem Information systems (HONS),"Web Developer,  C# Web Developer,  C# Developer,  PHP Web Developer, Web developer"
Bachelor of Commercem Marketing And Business Management,"Operations Manager,  Branch General Manager,  Marketing Manager,  Brand Manager,  CRM Manager,  Sales Manager,  SQL Developer,  Application Support, Brand Manager,  Financial Consultant"
Bachelor Of Commerce-Major-Marketing&Business Adm,"Professional Television Artist,  Business Developer,  Business Development Consultant,  Account Executive,  Department Office Assistant"
Bachelor of Computer Application,"UI Developer,  AngularJS Developer,  Software Developer,  Senior Software Developer, UI Developer"
Bachelor Of Computer Science,"SharePoint Developer/C# Developer, Software Developer,  Software Developer"
Bachelor Of Computer Science And Information Technology,"PHP Developer, Jr.Programmer"
Bachelor of Computer Science Engineering,"Android Developer,  Project Manager IT,  Mobile Application Developer, Java Web Developer"
