University,Course
Africa International University,BACHELOR OF BUSINESS ADMINISTRATION
Africa International University,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
Africa International University,BACHELOR OF THEOLOGY (BTH)
Africa International University,BACHELOR OF SCIENCE IN ACCOUNTANCY AND FINANCIAL MANAGEMENT
Africa International University,BACHELOR OF SCIENCE IN INFORMATION COMMUNICATION TECHNOLOGY
Africa International University,BACHELOR OF ARTS IN LINGUISTICS
Africa International University,POSTGRADUATE DIPLOMA IN THEOLOGY
Africa International University,POSTGRADUATE DIPLOMA IN EDUCATION
Africa International University,MASTER OF ARTS IN BIBLICAL STUDIES
Africa International University,MASTER OF ARTS IN CHURCH HISTORY
Africa International University,MASTER OF EDUCATION (CHILD DEVELOPMENT AND FAMILY STUDIES)
Africa International University,MASTER OF EDUCATION (CHURCH EDUCATION)
Africa International University,MASTER OF EDUCATION (CURRICULUM AND INSTRUCTION)
Africa International University,MASTER OF ARTS IN COUNSELING PSYCHOLOGY
Africa International University,MASTERS OF ARTS GENERAL MISSIONS STUDIES
Africa International University,MAMS IN ISLAMIC STUDIES
Africa International University,MASTERS OF ART PASTORAL
Africa International University,MASTER OF ARTS IN THEOLOGY
Africa International University,MASTER OF DIVINITY GENERAL STUDIES
Africa International University,MASTER OF DIVINITY IN HISTORICAL STUDIES
Africa International University,MASTER OF DIVINITY (BIBLICAL STUDIES)
Africa International University,MASTER OF ARTS IN ORGANIZATIONAL LEADERSHIP (MAOL)
Africa International University,MASTERS OF BUSINESS ADMINISTRATION
Africa International University,MASTER OF EDUCATION (EDUCATIONAL LEADERSHIP AND ADMINISTRATION)
Africa International University,PHD IN INTERCULTURAL STUDIES
Africa International University,DOCTOR OF PHILOSOPHY IN TRANSLATION STUDIES
Africa International University,DOCTOR OF PHILOSOPHY IN BIBLICAL STUDIES (PHD-BS)
Africa International University,DOCTOR OF PHILOSOPHY IN THEOLOGY & DEVELOPMENT
Africa International University,PHD SYSTEMATIC THEOLOGY
Africa International University,PHD IN EDUCATION
Africa International University,PHD INTER-RELIGIOUS
Africa International University,PHD THEOLOGY AND CULTURE
Africa International University,DOCTOR OF MINISTRY PROGRAM
Amref International University,BSc in Community Health Practice
Amref International University,BSc in Health Systems Management and Development
Amref International University,BSc Nursing in-service
Amref International University,Masters in Public Health Course
Amref International University,MSc Health Professions Education Course
Amref International University,Higher Diploma in Community Health
Amref International University,Higher Diploma in Comprehensive Reproductive Health
Amref International University,Diploma in KRCHN : Upgrading Enrolled Nurse midwives
Amref International University,Diploma in KRCHN : Pre-service
Amref International University,Diploma in KRCHN : Upgrading Enrolled Community Health Nurses
Amref International University,Diploma in Community Health Practice (Basic)
Catholic University of Eastern University,Validated Certificate in Theological Studies
Catholic University of Eastern University,Diploma in Theological Studies.
Catholic University of Eastern University,Diploma in Chaplaincy and Spiritual Guidance
Catholic University of Eastern University,Diploma in Spiritual and Religious Formation
Catholic University of Eastern University,Diploma in Ecumenism and Interfaith Studies
Catholic University of Eastern University,Diploma in Evangelization and Catechesis
Catholic University of Eastern University,Diploma in Church and Mission
Catholic University of Eastern University,Diploma in Charismatic and Healing Ministry
Catholic University of Eastern University,Diploma in Ethical Issues
Catholic University of Eastern University,Diploma in Pastoral Psychology and Counseling
Catholic University of Eastern University,Diploma in Small Christian Communities for New Evangelization
Catholic University of Eastern University,Diploma in Biblical Theology
Catholic University of Eastern University,Diploma in Pastoral Liturgy
Catholic University of Eastern University,Bachelor of Theology
Catholic University of Eastern University,Baccalaureate in Sacred Theology
Catholic University of Eastern University,Master of Theologyÿwith specialization in
Catholic University of Eastern University,Doctor of Philosophy in Theology
Catholic University of Eastern University,Doctorate in Sacred Theology
Catholic University of Eastern University,Faculty of Arts & Social Science Programmes
Catholic University of Eastern University,Certificate in Environmental Impact Assessment (EIA)
Catholic University of Eastern University,Certificate in Environmental Audit
Catholic University of Eastern University,Certificate in Kiswahili
Catholic University of Eastern University,Certificate in Community Development
Catholic University of Eastern University,Certificate in Environmental Science
Catholic University of Eastern University,Certificate in Criminology
Catholic University of Eastern University,Certificate in Security Studies
Catholic University of Eastern University,Certificate in Social Work
Catholic University of Eastern University,Certificate in Community Development
Catholic University of Eastern University,Certificate in County Governance
Catholic University of Eastern University,Certificate in Project Planning
Catholic University of Eastern University,Certificate in Pre- University
Catholic University of Eastern University,Diploma in Social Psychiatry
Catholic University of Eastern University,Diploma in Community Development
Catholic University of Eastern University,Diploma in Psychology
Catholic University of Eastern University,Diploma in County Governance
Catholic University of Eastern University,Diploma in Criminology and Security Studies
Catholic University of Eastern University,Diploma in Peace and Conflict Management
Catholic University of Eastern University,Diploma in International Relations
Catholic University of Eastern University,Diploma in Strategic Planning and Management
Catholic University of Eastern University,Diploma in Social Work
Catholic University of Eastern University,Diploma in Environmental Audit
Catholic University of Eastern University,Diploma in Project Planning
Catholic University of Eastern University,Advanced Diploma in Project Planning and Management of DevelopmentÿProjects (Day and Evening)
Catholic University of Eastern University,Bachelor of Arts in Kiswahili and Communication Studies
Catholic University of Eastern University,Bachelor of Arts in Sociology
Catholic University of Eastern University,Bachelor of Arts in Economics
Catholic University of Eastern University,Bachelor of Arts in Political Science
Catholic University of Eastern University,Bachelor of Arts in Anthropology
Catholic University of Eastern University,Bachelor of Arts in Social Work
Catholic University of Eastern University,Bachelor of Arts in Geography
Catholic University of Eastern University,Bachelor of Arts in History
Catholic University of Eastern University,Bachelor of Arts in Philosophy
Catholic University of Eastern University,Bachelor of Arts in Religious Studies
Catholic University of Eastern University,Bachelor of Arts in Philosophy and one of the following:
Catholic University of Eastern University,Bachelor of Arts in Development Studies (Day and Evening)
Catholic University of Eastern University,Postgraduate Diploma in Planning and Management of Development Projects 
Catholic University of Eastern University,Master of Arts in Religious Studies
Catholic University of Eastern University,Master of Arts in Philosophy
Catholic University of Eastern University,Master of Arts in History
Catholic University of Eastern University,Master of Arts in Sociology
Catholic University of Eastern University,Master of Arts in Development studies
Catholic University of Eastern University,Master of Arts in Project Planning.
Catholic University of Eastern University,Master of Arts in Social Work
Catholic University of Eastern University,Doctor of Philosophy in Religious Studies
Catholic University of Eastern University,Doctor of Philosophy in Philosophy
Catholic University of Eastern University,Faculty of Commerce Programmes
Catholic University of Eastern University,Doctor of Philosophy in Education
Catholic University of Eastern University,"Doctor of Philosophy in Educational Planning and Administration

Doctor of Philosophy in Education Research and Evaluation

Doctor of Philosophy in Curriculum Studies and Instruction

Doctor of Philosophy in Counselling Psychology"
Catholic University of Eastern University,Master of Education
Catholic University of Eastern University,Master Of Education in Educational Planning and Administration
Catholic University of Eastern University,"Advanced Diploma in Teaching in Higher Education

Postgraduate Diploma in Education"
Catholic University of Eastern University,"Master Of Education in Educational Psychology, Counselling Psychology, Guidance and Counselling"
Catholic University of Eastern University,Master Of Education in Curriculum Studies and Instruction
Catholic University of Eastern University,Diploma in Early Childhood Development and Education
Catholic University of Eastern University,Certificate in Natural Resource Management
Catholic University of Eastern University,Certificate in Food Science and Technology
Catholic University of Eastern University,Certificate in HIV/AIDS Management
Catholic University of Eastern University,Certificate in Analytical Chemistry
Catholic University of Eastern University,Certificate in Electronics
Catholic University of Eastern University,Bachelor of Science in Biology.
Catholic University of Eastern University,Bachelor of Science in Chemistry.
Catholic University of Eastern University,Bachelor of Science in Physics.
Catholic University of Eastern University,Bachelor of Science in Mathematics.
Catholic University of Eastern University,Bachelor of Science in Computer Science.
Catholic University of Eastern University,Bachelor of Science in Actuarial Science
Catholic University of Eastern University,PhD in Mathematics with specialization in Applied Mathematics and Pure Mathematics
Catholic University of Eastern University,Bachelor of Justice and Peace
Catholic University of Eastern University,Minimum Admission Requirements
Catholic University of Eastern University,Certificate in Church Management and Leadership
Catholic University of Eastern University,Advanced Certificate in Church Management and Leadership
Catholic University of Eastern University,Diploma in Church Management and Leadership
Catholic University of Eastern University,Advanced Certificate in Justice and Peace
Catholic University of Eastern University,Diploma in Justice and Peace
Catholic University of Eastern University,Department of Library and information Science
Catholic University of Eastern University,Certificate in Archives and Record Management
Catholic University of Eastern University,Certificate in Library and Information Science
Catholic University of Eastern University,Diploma in Archives and Record Management
Catholic University of Eastern University,Diploma in Library and Information Science
University of Eastern Africa Baraton,MBA in Accounting
University of Eastern Africa Baraton,MBA in Finance
University of Eastern Africa Baraton,MBA in Management
University of Eastern Africa Baraton,MBA in Human Resource
University of Eastern Africa Baraton,MBA in Marketing
University of Eastern Africa Baraton,MBA in Information System Management
University of Eastern Africa Baraton,Doctor of Philosophy in Education 
University of Eastern Africa Baraton,Master of Education
University of Eastern Africa Baraton,Post-graduate Diploma in Education (PGDE) for secondary school/college (School-based) teachers
University of Eastern Africa Baraton,Post-graduate Diploma in Counseling Psychology
University of Eastern Africa Baraton,Master of Science in Nursing(MScN)
University of Eastern Africa Baraton,Master of Public Health(MPH)
University of Eastern Africa Baraton,Master of Science in Global Health Care
University of Eastern Africa Baraton,MSc in Conservation Biology
University of Eastern Africa Baraton,MSc in Bio-Medical Science
University of Eastern Africa Baraton,BBA in Accounting
University of Eastern Africa Baraton,BBA in Finance
University of Eastern Africa Baraton,BBA in Management
University of Eastern Africa Baraton,BBA in Marketing
University of Eastern Africa Baraton,BBA in Office Administration
University of Eastern Africa Baraton,Bachelor of Business Information Technology (BBIT)
University of Eastern Africa Baraton,BSc in Networks and Communication Systems
University of Eastern Africa Baraton,BSc in Software Engineering
University of Eastern Africa Baraton,Bachelor of Arts (BA) in Counseling Psychology
University of Eastern Africa Baraton,B.Ed Arts 
University of Eastern Africa Baraton,BSc in Nursing
University of Eastern Africa Baraton,Registered Nurse to BSc in Nursing upgrading program
University of Eastern Africa Baraton,BSc in Medical Laboratory Sciences
University of Eastern Africa Baraton,BSc in Public Health (Environmental Health)
University of Eastern Africa Baraton,BSc in Public Health (Upgrading Program)
University of Eastern Africa Baraton,BA in History
University of Eastern Africa Baraton,BA/BSc in Geography
University of Eastern Africa Baraton,BA in Development Studies
University of Eastern Africa Baraton,BA. in English Language
University of Eastern Africa Baraton,BA. in Linguistics
University of Eastern Africa Baraton,BA. in Kiswahili
University of Eastern Africa Baraton,BA. in French
University of Eastern Africa Baraton,BA. in Literature
University of Eastern Africa Baraton,BA. in Music Performance
University of Eastern Africa Baraton,B Music in Music Education
University of Eastern Africa Baraton,BA. in Theology
University of Eastern Africa Baraton,BA. in Religion
University of Eastern Africa Baraton,BSc. in Agriculture
University of Eastern Africa Baraton,BSc. in Agri-Business
University of Eastern Africa Baraton,Bachelor of Technology (BT) in Agriculture
University of Eastern Africa Baraton,"BSc. in Biology

i. Bio-Medical Science option
ii. Biotechnology option
iii. Conservative Biology option
iv. General Biology option"
University of Eastern Africa Baraton,"BSc. in Chemistry

i. Analytical Chemistry option
ii. Biochemistry option
iii. Industrial Chemistry with Management option
iv. General Chemistry option"
University of Eastern Africa Baraton,BSc. in Family and Child Development
University of Eastern Africa Baraton,BSc. in Foods and Nutrition
University of Eastern Africa Baraton,BSc. in Nutrition and Dietetics
University of Eastern Africa Baraton,BSc. in Fashion and Textile Design
University of Eastern Africa Baraton,BSc. in Hotel and Hospitality Management
University of Eastern Africa Baraton,BSc. in Social Work
University of Eastern Africa Baraton,BSc. in Mathematics
University of Eastern Africa Baraton,Bachelor of Science in Technology (Automotive)
University of Eastern Africa Baraton,Bachelor of Technology in Automotive
University of Eastern Africa Baraton,"Bachelor of Science in Technology (Electronics)

i. Communication Option
ii. Industrial Options"
University of Eastern Africa Baraton,BA Counselling Psychology
University of Eastern Africa Baraton,Bachelor of Business Information Technology (BBIT)
University of Eastern Africa Baraton,BSc in Networks and Communication Systems
University of Eastern Africa Baraton,BSc in Software Engineering
University of Eastern Africa Baraton,BBA Accounting
University of Eastern Africa Baraton,BBA Finance
University of Eastern Africa Baraton,BBA Management
University of Eastern Africa Baraton,BA Counselling Psychology
University of Eastern Africa Baraton,BSc Public Health
University of Eastern Africa Baraton,BA Development Studies
University of Eastern Africa Baraton,BA Music
University of Eastern Africa Baraton,BA Theology and Religious Studies
University of Eastern Africa Baraton,BSc Chemistry
University of Eastern Africa Baraton,BSc Foods and Nutrition
University of Eastern Africa Baraton,BSc Nutrition and Dietetics
University of Eastern Africa Baraton,Registered Nurse to BSc in Nursing upgrading program
University of Eastern Africa Baraton,BSc in Public Health
University of Eastern Africa Baraton,Bachelor of Business Information Technology (BBIT)
University of Eastern Africa Baraton,BSc Networks and Communications
University of Eastern Africa Baraton,BSc Software Engineering
University of Eastern Africa Baraton,BSc Chemistry
University of Eastern Africa Baraton,BSc Foods and Nutrition
University of Eastern Africa Baraton,BSc Nutrition and Dietetics
University of Eastern Africa Baraton,BA Development Studies
University of Eastern Africa Baraton,Registered Nurse to BSc in Nursing upgrading program
University of Eastern Africa Baraton,BSc in Public Health
Gretsa University,Bachelor Commerce (B.COM)
Gretsa University,Bachelor Of Science in Computer Science
Gretsa University,Bachelor of Arts in Community Development
Gretsa University,Bachelor of Science Hospitality Management
Gretsa University,Diploma in Business Information Technology
Gretsa University,Diploma in Accounting
Gretsa University,Diploma in Agricultural Enterprise and Project Management
Gretsa University,Diploma in Banking and Finance
Gretsa University,Diploma in Business Management
Gretsa University,Diploma in County Governance
Gretsa University,Diploma in Credit Management
Gretsa University,Diploma in Human Resource management
Gretsa University,Diploma in Marketing Management
Gretsa University,Diploma in Micro-Finance and co-operatives Management
Gretsa University,Diploma in Project management
Gretsa University,Diploma in Public Administration
Gretsa University,Diploma in Public Relations
Gretsa University,Diploma inÿ Purchasing and Supply Management
Gretsa University,Diploma in Real Estate Management
Gretsa University,Diploma in Computer Science
Gretsa University,Diploma in Software Systems Development
Gretsa University,Diploma In Education (ARTS)
Gretsa University,Diploma in Diplomacy and International Relations
Gretsa University,Diploma in Social Work and Community Development
Gretsa University,Diploma in Special Needs Education
Gretsa University,Diploma In Journalism And Mass Communication
Gretsa University,Diploma In Primary Teacher Education
Gretsa University,Diploma In Early Child Hood Development Education.
Gretsa University,Diploma In Counseling Pyschology
Gretsa University,Diploma in Food Production
Gretsa University,Diploma in Travel and Tourism Management
Gretsa University,DIPLOMA IN COMMUNITY NUTRITION AND DIETETICS
Gretsa University,Diploma in Community Health
Gretsa University,Diploma in Environmental Health
Gretsa University,Diploma In Health Records and Information Technology
Gretsa University,Diploma In Library and Information Science
Gretsa University,Diploma In Records and Information Management
Gretsa University,Certificate in Information Technology
Gretsa University,Certificate In Desktop Publishing and Graphics Design
Gretsa University,Foundation Certificate of Gretsa University
Gretsa University,Certificate In Journalism And Mass Communication
Gretsa University,Certificate In Early Childhood Education
Gretsa University,Certificate in Food Production
Gretsa University,Certificate in Community Health
Gretsa University,CERTIFICATE IN COMMUNITY NUTRITION AND DIETETICS
KAG East University,BA in Biblical Studies
KAG East University,BA in Education
KAG East University,BA in Inter-cultural Studies
KAG East University,BA in Counseling Psychology
KAG East University,BA in Business Administration
KAG East University,BA in Journalism & Mass Media
KAG East University,BA in Criminology and Security Studies
KAG East University,BA in Community Developement & Social Work
KAG East University,BA in Early Childhood Developement Education
KAG East University,BA in Church Educational Ministries
KAG East University,Ministerial Studies in Leadership
KAG East University,Ministerial Studies Inter-cultural Studies
KAG East University,Biblical Studies Broad Field Plan (Old & New Testament)
KAG East University,BA in Biblical Studies
KAG East University,BA in Education
KAG East University,BA in Inter-cultural Studies
KAG East University,BA in Counseling Psychology
KAG East University,BA in Business Administration
KAG East University,BA in Journalism & Mass Media
KAG East University,BA in Criminology and Security Studies
KAG East University,BA in Community Developement & Social Work
KAG East University,BA in Early Childhood Developement Education
KAG East University,BA in Church Educational Ministries
Kenya Methodist University,Bachelor of Education (Primary Option)
Kenya Methodist University,Bachelor of Education (Science)
Kenya Methodist University,Bachelor of Education (Early Childhood and Development)
Kenya Methodist University,Bachelor of Education (Arts)
Kenya Methodist University,Bachelor of Criminology and Security Management
Kenya Methodist University,Bachelor of Arts in Counselling
Kenya Methodist University,Bachelor of Arts in Communication and Journalism
Kenya Methodist University,Bachelor of Science in Agriculture
Kenya Methodist University,Bachelor of Science in Applied Biology Page 1 and Page 2
Kenya Methodist University,Bachelor of Business Information Technology
Kenya Methodist University,Bachelor of Science in Computer Information Systems
Kenya Methodist University,Bachelor of Science in Information Sciences
Kenya Methodist University,Bachelor of Science in Mathematics and Computer Science
Kenya Methodist University,Bachelor of Business Administration
Kenya Methodist University,Bachelor of International Relations
Kenya Methodist University,Bachelor of Science in Travel & Tourism Management
Kenya Methodist University,Bachelor of Science in Hospitality Management
Kenya Methodist University,Bachelor of Science in Nursing
Kenya Methodist University,Bachelor of Science in Human Nutrition and Dietetics
Kenya Methodist University,Bachelor of Science in Health Systems Management
Kenya Methodist University,Bachelor of Science in Community Health
Kenya Methodist University,Bachelor of Science in Medical Laboratory Science
Kenya Methodist University,Bachelor of Medicine & Bachelor of Surgery (MB.CH.B)
Kenya Methodist University,Master of Business Administration
Kenya Methodist University,Master of Science in Finance and Investment
Kenya Methodist University,Master of Science in Hospitality and Tourism Management
Kenya Methodist University,Master of Education in Curriculum Studies
Kenya Methodist University,Master of Education in Leadership and Educational Management
Kenya Methodist University,Master of Education in Guidance and Counseling
Kenya Methodist University,Master of Arts in Religious Studies
Kenya Methodist University,Master of Arts in Mission Studies
Kenya Methodist University,Master of Arts in Counseling
Kenya Methodist University,Master of Science in Nursing Education
Kenya Methodist University,Master of Science in Human Nutrition
Kenya Methodist University,Master of Science in Health Systems Management
Kenya Methodist University,Master of Public Health
Kenya Methodist University,Master of Science in Agriculture and Rural Development
Kenya Methodist University,Master of Information Science
Kenya Methodist University,Master of Science in Computer Information Systems
Kenya Methodist University,Doctor of Philosophy in Business Administration and Management
Kenya Methodist University,Doctor of Philosophy inÿ Health Systems Management
Kenya Methodist University,Doctor of Philosophy in Agriculture
Kenya Methodist University,Doctor of Philosophy in Education Leadership and Management
Management University of Africa,Bachelors of Management and Leadership
Management University of Africa,Bachelors of Development Studies
Management University of Africa,Bachelors of Development Studies
Management University of Africa,Bachelor of Commerce
Management University of Africa,Bachelor of Commerce
Management University of Africa,Masters Of Management And Leadership
Management University of Africa,Masters Of Business Administration (MBA)
Management University of Africa,Doctor of Philosophy in Management and Leadership (PhD)
Management University of Africa,MSc Arts In Development Studies Course
Management University of Africa,Advanced Diploma In Logistics And Transport For Chartered Institute Of Logistic And Transport (CILT)
Management University of Africa,International Computer Driving Licence (ICDL).
Management University of Africa,Diploma in Leadership and Management
Management University of Africa,Diploma in Entrepreneurship
Management University of Africa,Diploma in Information Communication Technology
Management University of Africa,Diploma in Business Information Communication Technology
Management University of Africa,Diploma in International Relations and Diplomacy
Management University of Africa,Diploma in Counselling and Psychology
Management University of Africa,Diploma in Pension Management
Management University of Africa,Diploma in Community Health and Development
Management University of Africa,Diploma in Project Management
Management University of Africa,Diploma in Supply Chain Management
Management University of Africa,Diploma in Education Arts (English and Literature)
Management University of Africa,Diploma in Early Childhood Development
Management University of Africa,Diploma in Secretarial Studies
Management University of Africa,Certificate In Leadership And Management
Management University of Africa,Certificate In Entrepreneurship
Management University of Africa,Certificate in Information Communication Technology
Management University of Africa,Certificate in Business Information Communication Technology
Management University of Africa,Certificate in International Relations and Diplomacy
Management University of Africa,Certificate in Counselling and Psychology
Management University of Africa,Certificate in Community Health and Development
Management University of Africa,Certificate in Project Management
Management University of Africa,Certificate in Supply Chain Management
Management University of Africa,Certificate in Early Childhood Development
Management University of Africa,Certificate in Secretarial Studies
Pan Africa Christian University,PhD in Organizational Leadership
Pan Africa Christian University,PhD in Marriage &Family Therapy
Pan Africa Christian University,Master of Business Administration
Pan Africa Christian University,Masterÿof Arts in Leadership
Pan Africa Christian University,Masterÿof Arts in Marriage& Family Therapy
Pan Africa Christian University,Master of Arts in Pentecostal & Charismatic Studies
Pan Africa Christian University,Master of Arts in Biblical Theology
Pan Africa Christian University,Bachelor of Business Leadership(BBL)
Pan Africa Christian University,Bachelor of Arts in Counseling Psychology
Pan Africa Christian University,Bachelor of Arts In Communication
Pan Africa Christian University,Bachelor of Arts In Community Development
Pan Africa Christian University,Bachelor of Commerce (Bcom).
Pan Africa Christian University,Bachelor of Arts In Bible And Theology
Pan Africa Christian University,Bachelor of Business Information Technology
Pan Africa Christian University,Bachelor of Arts in Transformational Church Leadership
Pan Africa Christian University,Diploma in Counseling Psychology
Pan Africa Christian University,Diploma in Early Childhood Education (ECDE)
Pan Africa Christian University,Diploma in Information Communication Technology (D I.C.T)
Pan Africa Christian University,Diploma in Pastoral Counseling
Pan Africa Christian University,Diploma in Purchasing &ÿSupplies Management
Pan Africa Christian University,Diploma in Youth Ministry
Pan Africa Christian University,Diploma in Transformational Church Leadership Program (TCL).
Pan Africa Christian University,Diploma in Leadership & Management
Pan Africa Christian University,Diploma in Entrepreneurship Development
Pan Africa Christian University,Diploma in Communication
Pan Africa Christian University,Diploma in Disability studies
Scott Christian University,Master of Arts in Leadership and Management
Scott Christian University,Post Graduate Diploma in Education
Scott Christian University,Master of Business Administration (MBA)
Scott Christian University,Master of Education (M.Ed) (On-line?distance learning)
Scott Christian University,Master of Arts in Theology(MAT)
Scott Christian University,Master of Arts in Biblical Studies (MABS)
Scott Christian University,Bachelor of Business Administration (BBA)
Scott Christian University,Bachelor of Business Information Technology (BBIT)
Scott Christian University,Bachelor of Information Communication Technology
Scott Christian University,Bachelor of Hospitality and Tourism Management
Scott Christian University,Bachelor of Leadership and Management
Scott Christian University,Bachelor of Arts in Counseling Psychology
Scott Christian University,Bachelor of Arts in Community Development
Scott Christian University,Bachelor of Education (B.ÿEd) (Arts)
Scott Christian University,Bachelor of Education in Early Childhood Development Education
Scott Christian University,Bachelor of Theology (BTh)
Scott Christian University,Diploma in Theology (DTh)
Scott Christian University,Diploma in Christian Ministry
Scott Christian University,Diploma in Leadership & Management
Scott Christian University,Diploma in Agribusiness
Scott Christian University,Diploma in Information Communication Technology (ICT)
Scott Christian University,Diploma in Early Childhood Development Education(ECDE)
Scott Christian University,Certificate in Information Communication Technology (ICT)
Scott Christian University,Certificate in Agribusiness
Scott Christian University,Certificate in Early Childhood Development Education (ECDE)
Scott Christian University,Certificate in Christian Ministry
St. Pauls University,Doctor of Philosophy in Business Administration and Management
St. Pauls University,Doctor of Philosophy in Development Studies
St. Pauls University,Doctor of Philosophy in Theology
St. Pauls University,Master of Arts in Communication Studies
St. Pauls University,Master of Arts in Community Care & HIV/AIDS
St. Pauls University,Masters of Arts in Counselling Psychology
St. Pauls University,Master of Arts in Islam and Christian-Muslim Relations
St. Pauls University,Master of Arts in Sociology
St. Pauls University,Master of Arts in Transformational Leadership
St. Pauls University,Master of Business Administration
St. Pauls University,Master of Development Studies
St. Pauls University,Master of Education (Early Childhood Studies)
St. Pauls University,Master of Procurement and Logistics Management
St. Pauls University,Master of Public Administration and Policy
St. Pauls University,Master of Theology
St. Pauls University,Bachelor of Arts in Communication
St. Pauls University,Bachelor of Arts in Community Development
St. Pauls University,Bachelor of Arts in Counseling Psychology
St. Pauls University,Bachelor of Arts in Criminal Justice and Security Studies
St. Pauls University,Bachelor of Arts in Leadership and Management
St. Pauls University,Bachelor of Arts in Peace and Conflict Studies
St. Pauls University,Bachelor of Arts in Social Work
St. Pauls University,Bachelor of Business Administration & Management
St. Pauls University,Bachelor of Business and Information Technology
St. Pauls University,Bachelor of Commerce
St. Pauls University,Bachelor of Computer Science
St. Pauls University,Bachelor of Divinity
St. Pauls University,Bachelor of Education (Arts)
St. Pauls University,Bachelor of Education (Special Needs)
St. Pauls University,Bachelor of Education Education In Early Childhoood Development and Education (ECDE)
St. Pauls University,Bachelor of Science in Computing and Information Systems
St. Pauls University,Bachelor of Science in Health Records Management and Informatics
St. Pauls University,Bachelor of Science in Health Systems Management and Economics
St. Pauls University,Bachelor of Translation Studies
St. Pauls University,Diploma in Business Information Technology (DBIT)
St. Pauls University,Diploma in Business Management
St. Pauls University,Diploma in Clinical Medicine and Surgery
St. Pauls University,Diploma in Communication
St. Pauls University,Diploma in Community Development
St. Pauls University,Diploma in Community Health Development
St. Pauls University,Diploma in Computer Science
St. Pauls University,Diploma in Counseling Psychology
St. Pauls University,Diploma in Criminology and Security Management
St. Pauls University,Diploma in Education (Arts)
St. Pauls University,Diploma in Film Production
St. Pauls University,Diploma in Health Records Management
St. Pauls University,Diploma in Hotel and Catering Management
St. Pauls University,Diploma in Information Technology
St. Pauls University,Diploma in Journalism
St. Pauls University,Diploma in Leadership and Management
St. Pauls University,Diploma in Music
St. Pauls University,Diploma in Peace Building and Conflict Resolution
