career,course,universities,job_titles,skills
,Bachelor of Commerce Hr,,"Human resource manager,  human resource assistant,  Administrator,  Operations Manager,  Financial Planner,  Sales Manager,  human resource assistant,  Administrator, Financial Adviser,  Financial Adviser,  Learner Broker,  Senior Business Developer,  Administrative Assistant","Needs Analysis,  financial advice,  customer services.,  Internet,  Front Office,  spotlight,  xplan,  Microsoft Office ( Word,  Excel"
,B.Com Economics,,"management, Financial Adviser,  Department Manager,  Operation Management Development Programme Trainee,  Call Centre Agent Debt Collector","Mentoring,  Presenting.,  Team Building,  Customer Service,  Communication Skills,  Analytical Skills,  Marketing,  Computer Skills"
,Attended Leadership Development Program (Nqf 5),,"Software Developer, Team Leader Analyst Programmer,  Principal Software Developer,  Developer Consultant,  Minister and Freelance Software Developer,  Minister and Freelance Software Developer,  Minister,  Senior Computer Operator,  Student Computer Operator","IATA messaging and SSIM formats,  C++,  Chairing Meetings,  Motivational Skills,  Crystal Report Writer 5, 8.5,  Visual Basic 6 And Other Versions,  u""Xml (DtdS,  SchemaS)"""
,Professional Project Management,,"Business Analyst,  IT Project Manager,  Database Administrator, Cyber Cardet,  Information Technology Coordinator","Cobit 5 Certificartion,  SharePoint,  MVC,  CSS3,  ASP.Net,  Sharepoint,  HTML5,  Asp.Net,  Css 3"
,system development level 5,,software developer,"Java EE (restful APIS),  java and C#.,  Microsoft office advanced word,  DB2,  ionic framework,  GIT,  mySQL,  firebase,  python"
,MSc. Information Systems Management,,"CIO,  Head of IT,  Chief Architect,  Architect,  IT Specialist, Group Strategist Business Architect,  Enterprise Architect,  Independent Consultant,  Oracle Consultant,  Reports Developer,  Consultant","Data,  data Science,  Governance,  forensics,  architecture,  analytics,  strategic,  Leadership"
,Marketing,,Learning and Development Manager or Lead HMI Engineer,"managing automation college Africa,  training,  instrumentation,  sales and client relations,  software,  HMI engineer,  automation trainer,  client skills,  sales and training\n\nPeople skills\n\nAlways getting the best out of people"
,Bachelor of Science  Computer Science honours,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","software engineer,  java developer,  SQL, Android application development intern,  tutor","SQL database design and development,  networking,  software engineering,  css,  bootstrap and jquery,  android programming,  proficient in Linux systems such as Ubuntu and Fedora,  java,  Microsoft office"
,Senior Certificate,,Business Developer/Sales/Marketing,"Sales,  Sales and Marketing,  A dedication to customer service,  Empathy with their client,  Long-term relationship-building skills,  In-depth knowledge of the market"
,Cobol Programming,,,"VBachelor of Science ript,  ASP,  IIS,  Javascript,  Microsoft Access,  SQL,  VB,  .Net,  Web Services"
,Strategic & Tactical Sales,,"Owner,  Partner,  Commercial & Industrial Property Broker","All Microsoft Office Products,  Goldmine"
,Bachelor of Arts: Communication Science,,"Communication Manager,  Senior Manager,  Head of Communications,  Content Manager,  Communication Manager, Editor E-Communications,  Member Communications Co-Ordinator,  Web Designer Developer,  Electronic Information Officer,  IT Coordinator,  Personal Assistant to the SAICA Board,  Regional Personal Assistant,  Personal Assistant","Content Management,  Online Communication,  Social Media,  Strategy,  Crisis Management,  Business Intelligence,  Project,  Business Communications,  Brand And Reputation Management"
,B Soc Sci (Information Technology),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Web Developer,  ASP.NET Developer,  C# Developer, Junior Software Developer","Asp.Net Mvc,  Java,  ASP,  VB,  C#,  Asp.Net,  Jquery,  nunit,  xunit"
,Bachelors Degree,,,"Networking,  Html,  Jquery,  Java,  C#,  C++,  Javascript,  VB.Net,  .Net Developer"
,Bachelor in Technology: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","IT Support,  database administration,  junior java developer,  junior tester,  data analyst,  business intelligence analyst","Microsoft office,  team and individual player,  Java,  tomcat,  REST,  SQL,  jpa,  maven and db2,  hibernate"
,CBAP,,"Business Analyst,  Project Manager,  Business Developer,  Project Manager,  Business Developer, Senior Business Systems Analyst,  Business Analyst,  Dev Coordinator Project Manager Business Developer,  Lead Developer Project Analyst,  Programmer Developer Analyst","business analysis,  business analysi,  CBAP,  Programming,  Sql Database,  Delphi,  Business Analysis,  Development,  Project Management"
,Bachelor of Science  (Hons) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","BI Developer,  Business Analyst,  SQL Developer,  SSIS, Analyst Developer","SSIS,  MVC,  SSAS,  MS SQL Server Data Tools,  MS Visio,  EXCEL,  C#,  SQL,  github"
,Bachelor of Science(Computers),,"Java Developer,  Intermediate Java Developer,  Senior Java Developer","angularjs,  jquery,  ejb,  webservices,  mysql,  javamail,  css,  html5,  java"
,Oracle Database 11g Administrator Certified Professional,,"Oracle DBA,  Database Administrator,  SQL developer, SNR Network Operator,  Library Network Assistant","Oracle VM Server,  Databases,  PL/SQL,  SQL,  RMAN,  Weblogic Server,  UPK,  OATS,  EBS"
,Master In Business Administration,,"Application Development Manager, Senior IT Specialist Systems Developer,  Senior IT Specialist Functional Applications Support,  Lecturer,  Software Engineer Founder,  Developer Functional Support,  Developer Functional Support,  JNR Software Web Developer Technician,  Examination Assistant","SharePoint,  Nintex,  Infopath,  SharePoint Designer SQL,  Presentation,  Sdlc, Unit & Functional Testing,  Requirements Gathering,  Regression Testing"
,Senior Certificate,,"Senior Developer,  PHP Developer, Senior Developer,  Senior Developer,  Management,  cell2cell,  Developer,  Developer,  PHP Developer,  Senior Developer","PHP,  HTML,  Javascript,  CSS,  MySQL,  Architecture Frameworks,  SEO,  CMS / CRM,  Linux"
,Master In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",,"C++,  Sdlc,  Visual Studio 6,  Borland Builder 5 And 6,  Tcp/Ip,  MFC,  MS Media Player SDK,  MS Media Encoder SDK,  MS Media Services SDK"
,Bachelor in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",,"Php Development,  Database Design,  Search Engine Optimisation"
,ITIL Foundation,,"Cobol Programmer,  System Analyst,  Database Administrator, Junior Software Developer Intern,  Server Support 1ST Line Intern,  Junior Java Developer Learnership","Xhtml,  Mainframe,  EGL,  PLSQL,  Natural,  Oracle,  plsql,  Oracle plsql,  Cobol"
,ISEB,,"software developer, Tefl,  Started QA Company Quality Cubed,  Junior Business&Systems Analyst Qaulity Assurance,  Accounts Assistant,  Data Analyst,  Accounts Assistant,  Academic Tutor,  Auditing Vacation Work","C# .NET,  TDD,  Sql,  HTML,  DDD,  Java,  Mvp/Mvc,  Ef 4.1,  Quality Assurance"
,Certificate Of Competancy,,Enterprise Architect,"IT Strategy,  Solution Architect,  IT Consultant,  Enterprise Architect,  ESRI,  GIS,  Oracle,  Smallworld,  Systems Analysis"
,Bachelor of Science Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Junior Java Developer,  Junior Developer,  Database Developer,  Java Web Developer,  Web Developer","Program Design,  Processing and Logic Concepts,  Database Design Concepts,  Teaching,  Database Management,  Software Engineering,  Personal Skills,  Angular 4+,  MVC"
,Computer System Engineering,,"Java Developer,  Qlickview Developer,  Front End Web Developer,  Developer,  Junior Java Developer","CSS3 \u2022,  JSF,  \u2022,  Arduino,  Servlets,  Java(JSP,  Json \u2022,  Javascript(Angular Js) \u2022,  C++ \u2022"
,Software Engineer Degree,,Software Developer,"OData,  OOP,  AngularJS,  MSSQL,  MVC,  Web Apis/Services,  C#,  .NET,  Javascript"
,Post-Graduation in Production Engineering,,"Language Consultant,  Brazilian Portuguese, Software Developer Junior,  Information Technology Specialist","ArcGis,  Python,  Brazilian Portuguese,  Language Consultant,  Information Technology,  Computer Software"
,Bachelors degree Computer Engineering,,"ETL Developer,  BI Specialist,  Data Warehouse Analyst","Banking,  Flexcube,  Oracle,  Data warehouse,  ETL,  OBIEE,  Informatica"
,Certificated Computer Technician,,"Statistical Analyst,  Mis Analyst Systems Support,  Research Surveys Field Worker,  Merchandiser,  Window Dresser","Excel Advanced,  Microsoft Office Suite,  Systems Support,  Office Administrator,  Access,  Visual Basic,  Sap R/3"
,SAP Certified Technology Associate - SAP Authorization and,,"SAP Authorizations, Intern ? Team Leader: Software development(c#),  Intern Learner","SAP,  SQL,  Information Systems,  Development Software,  Business Analysis"
,Bachelor of Technology,,Solution analyst,"SAP BW,  SAP BPC,  SAP BO"
,Bis Multimedia,,"C# Developer,  Software Developer,  Team Lead,  Software Developer, Software Developer,  PHP Web Application Developer,  Software Developer,  Security Supervisor","HTML,  CSS,  C#,  ASP.Net,  SQL,  jQuery,  javascript,  C++,  PHP"
,Microsoft Certified Solution Developer,,Software Developer,"C# programming,  Microsoft Office,  \xb7,  Java programming,  HTML5,  JavaScript,  CSS3"
Data Science,Business Analysis,,"Technical Business Analyst,  Systems Analyst,  Analyst Developer, Python Developer Analyst Developer,  Data Manager,  Data Manager,  Data Programmer,  Insurance and Customer Service Agent","SDLC,  MVC Software Pattern,  Perl Programming,  Data Management,  LAMP,  Php 4 & 5 Scripting,  Web Applications,  SQL (Mysql,  Sql Server)"
,Bachelor of Science  Hons Degree,,"Junior Business Analyst,  Web Developer,  Website Developer","Databases,  Business Systems Analysis,  Business Systems Design.,  Enterprise Networking,  Business Communication"
,Bachelor of Science  (Hons) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Oracle Applications Programmer,  Oracle Systems Developer,  Attach\xe9","Oracle Pl/Sql,  Oracle Forms And Reports,  Windows Technologies,  Visual Basic,  Oracle Database Administration (8i,  9i),  Microsoft Sql,  Aix Operating System,  Project Management"
,Post Graduate Certificate in Software Engineering,,"Senior Developer,  Lead Developer,  Senior C# Developer,  DevOps Engineer,  Full-Stack Developer,  .NET Developer,  Angular Developer, Software Development Consultant,  Senior Software Developer,  Software and Web Consultant,  Web Solutions Developer,  Software Engineer","MS SQL Server,  CSS3,  C#,  DevOps,  Visual Studio 2015,  ASP.NET Web API,  HTML,  ASP.NET Webforms,  Microsoft Azure"
,National Diploma Information and technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Software Developer,  System Developer,  Progremmar,  IT Technician,  Junior Business Analyst, Web designer Software developer","web designing,  ASP,  Active Directory,  VB Ajax,  C#,  A,  Jvascrip,  Oracle,  VB2010"
,Bachelors Degree of Computing,,"Software Developer,  Software Engineer,  Junior C# Developer","Entity Framework,  SQL Database Administraton,  C# Programming,  JavaScript,  Documentation,  MongoDb,  Management"
,Bachelor of Science - Applied Mathematics & Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Mobile Developer,  Software Developer","ASP.Net,  Git,  Xcode,  Objective-C,  Git-TF,  Swift,  TFS,  C#,  JQuery"
,Bachelor in Technology Degree,,"Lead Software Developer,  Team Leader, Senior Software Developer,  Software Developer,  Software Developer","HTML, 3.5,  JQuery,  Team Foundation Server,  SQL Server 2005,  C#,  SQL Server 2008,  MS Test,  Microsoft Visual Studio 2005"
,Diploma in Software Development,,"junior/intermediate C# developer,  junior/intermediate java developer,  junior front end developer","Ability to work alone without needing any supervision.\r\nJava Developer\r\nC# Developer,  Have time management skills,  Ability to work underr pressure,  Able to work well in a team environment,  JavaScript,  CSS,  Sql Developer,  java,  Spring MVC"
,Masters of Science Computer Engineering,,"Manager,  Sales,  Sales","In Desgin And Integration,  Contract Management,  Addon Sales,  Team Leadership,  Financial Management,  Business Management"
,Bachelor of Science  Mathematical Modelling,,Analyst,"Crystal Reporting,  MS office 2010,  Programming"
,Bachelor of Engineering (Hon) Industrial & Manufacturing Engineering,,"Supply Chain Planning Manager, Logistics Support Controller,  Industrial Engineering Consultant,  Graduate Trainee Plant Engineer,  Manufacturing Systems Developer,  Maintenance Stores Assistant,  Production Supervisor Then Production Analyst,  u""Attache""]","Word,  Excel,  Powerpoint,  Internet,  Productivity Measurement & Management,  Industrial Engineering,  Production Planning & Control,  Project Management,  Physical Assets Performance Measurement"
,Bachelor Of Science,,"Snr Oracle developer,  Systems Developer,  TIA Developer,  Systems Developer, Business Analyst Intern,  Tutor","System design Analysis,  Oracle PL/SQL,  System development,  System Analysis,  System Design,  Software Programming,  Requirement Analysis,  SDLC,  oracle reports"
,Bachelor of Science . Hons Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Android Developer,  PHP Developer,  Senior PHP Developer,  Full Stack Developer, IT Lead,  IT Manager,  Intern","PHP,  Wordpress,  Microsoft Server,  CSS,  Photoshop,  Animate,  MySQL,  Centos Server,  Javascript"
,Bachelor in Technology Information Technologt,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Business Analysis,  System developer,  Business Intelligence","SQL,  javascript,  C#,  SharePoint,  HTML5,  HTML5,  CSS3,  Javascript,  Sharepoint"
,Bachelor of Science (Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Software Programmer,  Electronic Document Scanning and Filing,  Research","SQL,  .NET,  C#,  Oracle,  Stored Procedures,  Visio,  VB,  Pvcs,  Unix"
,Bachelor in Technology(Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",Senior Java Developer,
,B.Com Financial Management,,"Assistant Cost Accountant,  Assistant Accountant,  Junior Accountant,  Financial Manager,  Junior Accountant,  Financial Manager","Caseware Working Papers,  Microsoft Office 2003,  2007 And 2010,  Sars Easyfile (Irp5 Recons),  Sars Affairs,  Taxware And Caseware Time,  Compiling Financial Statements,  Sars Efiling,  Pastel Partner"
,Bachelor in Technology Electronic Engineering - Process Instrumentation,,"Electronic Engineer,  Design Engineer,  Software Developer,  Process Engineer,  Design Engineer, Junior Service Engineer","Electronics,  Technical Thinking,  Python,  Software Development,  Decision Making,  Herok,  Django,  Management,  Debugging"
,Microsoft Sql Reporting Services,,"SAP BW,  System Support,  SAP MAP,  System Support, Software Support","Sap Bw,  Sap Map,  Mcse 2003,  Bmc Remedy Administrator,  Transact Sql"
,SAP Certified ABAP Consultant,,"SAP ABAP Consultant,  SAP ABAP Developer, ABAP Developer,  ABAP Developer,  ABAP Consultant,  Analyst Programmer","ABAP Dialogues / Screens,  SAP SD,  SAP ABAP,  u""ABAP Reports / ALVs"",  ABAP Root Cause Analysis / Fault Finding,  ABAP Interfaces,  SAP Smartforms,  SAP MM,  SAP FI"
,Bachelor of Science  Honours Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Senior PHP Developer, Senior PHP Developer,  Senior PHP Developer,  PHP Senior Developer,  Junior Developer","CSS,  Laravel,  Java,  Codeigniter,  C#,  Symphony,  HTML,  Linux,  Angular"
,Bachelor of Science,,,"Data Processing,  Web Site Production,  asp,  Mathematics,  xml,  Database Administration,  Operating Systems,  php,  Physics"
,National Diploma- It In Business Applications,,"Websphere MQ series,  Websphere,  Incident Coordinator,  Websphere,  Incident Coordinator, Admin Clerk,  Service Center Operator,  Service Center Operator","help desk,  incident managemanagement mq series,  business anaanalysis,  back office,  Typing,  Microsoft Office,  Microsoft Windows 2000,  Personnel,  Html"
,Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",Business Systems Analyst,"Internet Explorer,  SQL,  PeopleSoft,  Oracle Apex,  Microsoft Word,  Microsoft Windows,  Computer Skills,  Html,  Frontpage"
,Bachelor of Commerce Marketing,,"Promotions Co-Ordinator,  Content Developer","Managing Campaigns - Marketing / Branding,  Writing / Presentation,  Brand Management / Development,  Budget Control - Producing,  Managing,  Reporting,  New Product Development,  Marketing Strategies - Incl Promotion/Sponsorship"
,Bachelor of Science  Degree (Software Engineer),,Sales and Support,"CVS,  Perl,  Terminal Services/Vnc/Pc Anywhere/Putty,  Ultra Edit,  Html/Dhtml,  Visual Studio 6,  Data Management (Csv,  Afp,  Pdf"
,Matric with exemption,,"Senior Developer, Web Developer,  Developer","Symfony,  zend,  problem solving,  PHP,  postgresql,  javascript,  unix,  html,  css"
,Advanced Certification in Leadership,,"Data,  BI Developer,  ETL Developer","ETL,  AGILE,  EXCEL,  R,  Data,  Cognos,  SSRS,  SSIS,  SSAS"
,Management Development Programme,,"Production Manager,  Operations Manager","MS Office,  Programming,  Production Management,  Master Scheduling,  Production Planning,  People Management,  Continuous Improvement,  Analyzing,  Contract Negotiations"
,Faculty of Engineering,,"Technical Team Lead,  Senior Java Developer,  Software Architect","jQuery,  J2EE,  Web Applications,  Java,  Neural Networks,  Agile,  Sencha,  JavaScript,  Ext JS"
,Ise(Information System Engineering) Diploma,,,"Python,  Html,  Xhtml,  Java,  Css,  Mysql,  *Nix Based Systems (Linux,  Unix,  Mac Osx)"
,Mechanical Engineering Degree,,"CTO,  Software Development Manager,  Product Owner,  Technical Product Manager, Business Owner,  Business Analyst,  Software Developer,  Software Developer,  Software Developer,  Mathematician,  Mechanical Engineer","Logfire Warehouse Management System,  Requirements Gathering,  Agile (Scrum),  Scrum Master,  Managing Development through SDLC,  Technical Application Design,  MS Office,  Relex Order Forecasting System,  Scrum Product Owner"
,information technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","information technology,  developer","database,  Microsoft office,  java,  php,  J2EE,  MYSQL,  web development,  C++."
,Bachelor of Science  Honours,,"Oracle E-Business DBA,  Oracle Applications DBA,  Oracle Database Administrator,  oracle dba,  Oracle DBA,  Oracle E-Business DBA, Oracle Application DBA,  Oracle DBA,  Intern Oracle Dba-Developer","Oracle E-Business Suite,  Oracle RAC,  Shell Scripting,  Oracle RMAN,  Oracle IAS,  DBA,  SOA,  Weblogic,  Oracle Workspace"
,Bachelor Of Engineering In Aeronautical Engineering,,"Web Application Developer,  Senior Web Application Developer,  Web Developer,  Senior Web Developer,  IT Development Manager,  Development Manager Software,  Web Development Manager","Manager Skills,  PHP,  Leadership,  Critical Thinking,  Google Analytics,  SQL,  jQuery,  Web Applications,  JavaScript"
,Nd It Software Development,,"Salesman,  Clerk","Microsoft Office,  Ssis,  DTS,  Ssrs,  Tsql,  Business Objects,  Sql Sever,  Ssas"
,Web And Application Developer,,Web Site Developer and Application Developer,"Sap Dms,  Sap Is-Utilities,  Visual Basic Programmer,  Oracle Programmer,  Php Programmer,  Javascript,  Html Programmer,  Mysql,  Sql"
,B.E-Computer Science and Engg.,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Software Developer,  Software Engineer,  ASP.NET Developer","html,  JAVA Script,  Jquery,  MVC,  AJAX,  Web services,  java script,  ASP.NET,  SQL"
