Course,Skills
Project Management,"IVR,  Nuance Product,  java,  communication skills,  Voice Loggers,  Manager,  Avaya PABX,  Specialist,  Technical Support"
Multimedia Design,"MS word,  Power point and MS Excel,  MS PROJECTS,  Communication,  Interpersonal,  Managerial,  Photoshop,  Telephonic Skills and leader ship skills"
Bachelor of Science  Information Technology,"Product Owner,  solutions architect,  Team Lead,  sql,  asp .NET winforms,  .NET,  leadership,  analysis,  architect"
Bachelor of Commerce Human Resource,"Needs Analysis,  financial advice,  customer services.,  Internet,  Front Office,  spotlight,  xplan,  Microsoft Office ( Word,  Excel"
B.Com Economics,"Mentoring,  Presenting.,  Team Building,  Customer Service,  Communication Skills,  Analytical Skills,  Marketing,  Computer Skills"
Attended Leadership Development Program (Nqf 5),"IATA messaging and SSIM formats,  C++,  Chairing Meetings,  Motivational Skills,  Crystal Report Writer 5, 8.5,  Visual Basic 6 And Other Versions,  u""Xml (DtdS,  Schema's)"""
Professional Project Management,"Cobit 5 Certification,  SharePoint,  MVC,  CSS3,  ASP.Net,  SharePoint,  HTML5,  Asp.Net,  CSS 3"
system development level 5,"Java EE (restful APIS),  java and C#.,  Microsoft office advanced word,  DB2,  ionic framework,  GIT,  MySQL,  firebase,  python"
MSc. Information Systems Management,"Data,  data Science,  Governance,  forensics,  architecture,  analytics,  strategic,  Leadership"
Marketing,"managing automation college Africa,  training,  instrumentation,  sales and client relations,  software,  HMI engineer,  automation trainer,  client skills,  sales and training\n\people skills\n\always getting the best out of people"
Bachelor of Science  Computer Science honors,"SQL database design and development,  networking,  software engineering,  CSS,  bootstrap and jquery,  android programming,  proficient in Linux systems such as Ubuntu and Fedora,  java,  Microsoft office"
Cobol Programming,"VBachelor of Science ript,  ASP,  IIS,  Javascript,  Microsoft Access,  SQL,  VB,  .Net,  Web Services"
Strategic & Tactical Sales,"All Microsoft Office Products,  Goldmine"
Bachelor of Arts: Communication Science,"Content Management,  Online Communication,  Social Media,  Strategy,  Crisis Management,  Business Intelligence,  Project,  Business Communications,  Brand And Reputation Management"
B Soc Sci (Information Technology),"Asp.Net Mvc,  Java,  ASP,  VB,  C#,  Asp.Net,  Jquery,  nunit,  xunit"
Bachelor in Technology: Information Technology,"Microsoft office,  team and individual player,  Java,  tomcat,  REST,  SQL,  jpa,  maven and db2,  hibernate"
Certified Business Analysis Professional(CBAP),"business analysis,  business analysi,  CBAP,  Programming,  Sql Database,  Delphi,  Business Analysis,  Development,  Project Management"
Bachelor of Science  (Hons) Computer Science,"SSIS,  MVC,  SSAS,  MS SQL Server Data Tools,  MS Visio,  EXCEL,  C#,  SQL,  github"
Bachelor of Science(Computers),"angularjs,  jquery,  ejb,  webservices,  mysql,  javamail,  CSS,  html5,  java"
Oracle Database 11g Administrator Certified Professional,"Oracle VM Server,  Databases,  PL/SQL,  SQL,  RMAN,  Weblogic Server,  UPK,  OATS,  EBS"
Master In Business Administration,"SharePoint,  Nintex,  Infopath,  SharePoint Designer SQL,  Presentation,  Sdlc, Unit & Functional Testing,  Requirements Gathering,  Regression Testing"
Master In Information Technology,"C++,  Sdlc,  Visual Studio 6,  Borland Builder 5 And 6,  Tcp/Ip,  MFC,  MS Media Player SDK,  MS Media Encoder SDK,  MS Media Services SDK"
Bachelor in Information Technology,"Php Development,  Database Design,  Search Engine Optimisation"
Certificate Of Competency,"IT Strategy,  Solution Architect,  IT Consultant,  Enterprise Architect,  ESRI,  GIS,  Oracle,  Smallworld,  Systems Analysis"
Bachelor of Science Information Technology,"Program Design,  Processing and Logic Concepts,  Database Design Concepts,  Teaching,  Database Management,  Software Engineering,  Personal Skills,  Angular 4+,  MVC"
Computer System Engineering,"CSS3 \u2022,  JSF,  \u2022,  Arduino,  Servlets,  Java(JSP,  Json \u2022,  Javascript(Angular Js) \u2022,  C++ \u2022"
Software Engineer Degree,"OData,  OOP,  AngularJS,  MSSQL,  MVC,  Web Apis/Services,  C#,  .NET,  Javascript"
Post-Graduation in Production Engineering,"ArcGis,  Python,  Brazilian Portuguese,  Language Consultant,  Information Technology,  Computer Software"
Bachelors degree Computer Engineering,"Banking,  Flexcube,  Oracle,  Data warehouse,  ETL,  OBIEE,  Informatica"
Certificated Computer Technician,"Excel Advanced,  Microsoft Office Suite,  Systems Support,  Office Administrator,  Access,  Visual Basic,  Sap R/3"
SAP Certified Technology Associate - SAP Authorization and,"SAP,  SQL,  Information Systems,  Development Software,  Business Analysis"
Bachelor of Technology,"SAP BW,  SAP BPC,  SAP BO"
Bachelor of Information Systems Multimedia,"HTML,  CSS,  C#,  ASP.Net,  SQL,  jQuery,  javascript,  C++,  PHP"
Microsoft Certified Solution Developer,"C# programming,  Microsoft Office,  \xb7,  Java programming,  HTML5,  JavaScript,  CSS3"
Business Analysis,"SDLC,  MVC Software Pattern,  Perl Programming,  Data Management,  LAMP,  Php 4 & 5 Scripting,  Web Applications,  SQL (Mysql,  Sql Server)"
Bachelor of Science  Hons Degree,"Databases,  Business Systems Analysis,  Business Systems Design.,  Enterprise Networking,  Business Communication"
Bachelor of Science  (Hons) Computer Science,"Oracle Pl/Sql,  Oracle Forms And Reports,  Windows Technologies,  Visual Basic,  Oracle Database Administration (8i,  9i),  Microsoft Sql,  Aix Operating System,  Project Management"
"enterprise Java Architech In IbmS Websphere""","MS SQL Server,  CSS3,  C#,  DevOps,  Visual Studio 2015,  ASP.NET Web API,  HTML,  ASP.NET Webforms,  Microsoft Azure"
National Diploma Information and technology,"web designing,  ASP,  Active Directory,  VB Ajax,  C#,  A,  Jvascrip,  Oracle,  VB2010"
Bachelors Degree of Computing,"Entity Framework,  SQL Database Administraton,  C# Programming,  JavaScript,  Documentation,  MongoDb,  Management"
Bachelor of Science - Applied Mathematics & Computer Science,"ASP.Net,  Git,  Xcode,  Objective-C,  Git-TF,  Swift,  TFS,  C#,  JQuery"
Bachelor in Technology Degree,"HTML, 3.5,  JQuery,  Team Foundation Server,  SQL Server 2005,  C#,  SQL Server 2008,  MS Test,  Microsoft Visual Studio 2005"
Diploma in Software Development,"Ability to work alone without needing any supervision.\r\nJava Developer\r\nC# Developer,  Have time management skills,  Ability to work underr pressure,  Able to work well in a team environment,  JavaScript,  CSS,  Sql Developer,  java,  Spring MVC"
Masters of Science Computer Engineering,"In Desgin And Integration,  Contract Management,  Addon Sales,  Team Leadership,  Financial Management,  Business Management"
Bachelor of Science  Mathematical Modelling,"Crystal Reporting,  MS office 2010,  Programming"
Bachelor of Engineering (Hon) Industrial & Manufacturing Engineering,"Word,  Excel,  Powerpoint,  Internet,  Productivity Measurement & Management,  Industrial Engineering,  Production Planning & Control,  Project Management,  Physical Assets Performance Measurement"
Bachelor Of Science,"System design Analysis,  Oracle PL/SQL,  System development,  System Analysis,  System Design,  Software Programming,  Requirement Analysis,  SDLC,  oracle reports"
Bachelor of Science . Hons Computer Science,"PHP,  Wordpress,  Microsoft Server,  CSS,  Photoshop,  Animate,  MySQL,  Centos Server,  Javascript"
Bachelor in Technology Information Technologt,"SQL,  javascript,  C#,  SharePoint,  HTML5,  HTML5,  CSS3,  Javascript,  Sharepoint"
Bachelor of Science (Computer Science),"SQL,  .NET,  C#,  Oracle,  Stored Procedures,  Visio,  VB,  Pvcs,  Unix"
Bachelor in Technology(Computer Science),
B.Com Financial Management,"Caseware Working Papers,  Microsoft Office 2003,  2007 And 2010,  Sars Easyfile (Irp5 Recons),  Sars Affairs,  Taxware And Caseware Time,  Compiling Financial Statements,  Sars Efiling,  Pastel Partner"
Bachelor in Technology Electronic Engineering - Process Instrumentation,"Electronics,  Technical Thinking,  Python,  Software Development,  Decision Making,  Herok,  Django,  Management,  Debugging"
Microsoft Sql Reporting Services,"Sap Bw,  Sap Map,  Mcse 2003,  Bmc Remedy Administrator,  Transact Sql"
SAP Certified ABAP Consultant,"ABAP Dialogues / Screens,  SAP SD,  SAP ABAP,  u""ABAP Reports / ALVs"",  ABAP Root Cause Analysis / Fault Finding,  ABAP Interfaces,  SAP Smartforms,  SAP MM,  SAP FI"
Bachelor of Science  Honours Computer Science,"CSS,  Laravel,  Java,  Codeigniter,  C#,  Symphony,  HTML,  Linux,  Angular"
Bachelor of Science,"Data Processing,  Web Site Production,  asp,  Mathematics,  xml,  Database Administration,  Operating Systems,  php,  Physics"
National Diploma- It In Business Applications,"help desk,  incident managemanagement mq series,  business anaanalysis,  back office,  Typing,  Microsoft Office,  Microsoft Windows 2000,  Personnel,  Html"
Bachelor of Science Computer Science,"Internet Explorer,  SQL,  PeopleSoft,  Oracle Apex,  Microsoft Word,  Microsoft Windows,  Computer Skills,  Html,  Frontpage"
Bachelor of Commerce Marketing,"Managing Campaigns - Marketing / Branding,  Writing / Presentation,  Brand Management / Development,  Budget Control - Producing,  Managing,  Reporting,  New Product Development,  Marketing Strategies - Incl Promotion/Sponsorship"
Bachelor of Science  Degree (Software Engineer),"CVS,  Perl,  Terminal Services/Vnc/Pc Anywhere/Putty,  Ultra Edit,  Html/Dhtml,  Visual Studio 6,  Data Management (Csv,  Afp,  Pdf"
Matric with exemption,"Symfony,  zend,  problem solving,  PHP,  postgresql,  javascript,  unix,  html,  CSS"
Advanced Certification in Leadership,"ETL,  AGILE,  EXCEL,  R,  Data,  Cognos,  SSRS,  SSIS,  SSAS"
Management Development Programme,"MS Office,  Programming,  Production Management,  Master Scheduling,  Production Planning,  People Management,  Continuous Improvement,  Analyzing,  Contract Negotiations"
Faculty of Engineering,"jQuery,  J2EE,  Web Applications,  Java,  Neural Networks,  Agile,  Sencha,  JavaScript,  Ext JS"
Ise(Information System Engineering) Diploma,"Python,  Html,  Xhtml,  Java,  CSS,  Mysql,  *Nix Based Systems (Linux,  Unix,  Mac Osx)"
Mechanical Engineering Degree,"Logfire Warehouse Management System,  Requirements Gathering,  Agile (Scrum),  Scrum Master,  Managing Development through SDLC,  Technical Application Design,  MS Office,  Relex Order Forecasting System,  Scrum Product Owner"
information technology,"database,  Microsoft office,  java,  php,  J2EE,  MYSQL,  web development,  C++."
Bachelor of Science  Honours,"Oracle E-Business Suite,  Oracle RAC,  Shell Scripting,  Oracle RMAN,  Oracle IAS,  DBA,  SOA,  Weblogic,  Oracle Workspace"
Bachelor Of Engineering In Aeronautical Engineering,"Manager Skills,  PHP,  Leadership,  Critical Thinking,  Google Analytics,  SQL,  jQuery,  Web Applications,  JavaScript"
Nd It Software Development,"Microsoft Office,  Ssis,  DTS,  Ssrs,  Tsql,  Business Objects,  Sql Sever,  Ssas"
Web And Application Developer,"Sap Dms,  Sap Is-Utilities,  Visual Basic Programmer,  Oracle Programmer,  Php Programmer,  Javascript,  Html Programmer,  Mysql,  Sql"
B.E-Computer Science and Engg.,"html,  JAVA Script,  Jquery,  MVC,  AJAX,  Web services,  java script,  ASP.NET,  SQL"
Bachelor of Science  Honours Actuarial Science,"Microsoft Office,  Data Analysis,  Mathematics,  R"
Bachelor of Science  Honours in Pure Mathematics,"Microsoft Office,  Latex,  SAP BW,  SAP business proccess,  Business intelligence,  SAP business object,  Matlab,  C++,  R"
Bachelor of Information Technology,"XML); Project management (Waterfall,  jQuery,  Kanban); Sage X3 People (Installation,  C#); Scripting (HTML,  development,  SQL; Object Orientated Programming (java,  project management and training in the professional space).,  JavaScript,  SCRUM"
Honours Degree In Psychology,"Microsoft Office,  Management And Organising,  General Counselling"
"Enterprise Java Architech In IbmS Websphere""","Computer Hardware(Building And Fixing Computers,  Html Web Programming,  Lotus Notes 6 Clp & Plp,  Adobe Photoshop,  Coral Draw Animated Giffs,  Java Script,  Graphics Designer,  Websphere J2ee And Portal,  Lotus Script"
Web & Graphic Design,"HTML,  CSS,  Adobe Photoshop,  Web Design,  Adobe Illustrator,  Front-End Developer,  Ui / Ux Design,  Jquery"
Bachelor of Commerce Information Systems,"Team player,  Project Management.,  good communication,  leadership,  C#,  integration testing,  sql server 2008/2013,  .NET,  manual testing"
Higher Diploma Information Management Systems,"Web Design,  angularjs,  MySQL,  PHP,  CSS,  SASS,  jQuery,  Cordova,  Phonegap"
Zend Certified Engineer,"Mysql Developer,  Microsoft Office,  Adobe Photoshop,  Php Developer,  Object Orientated Programming,  Source Control - GIT,  CSS and CSS3,  Source Control - SVN,  HTML5"
Admission to persuit a Bachelors,"Logical Problem Solving,  Communication Skills,  Microsoft Office,  Analytical Problem Solving,  JavaScript,  Python,  Python html CSS java,  Multilingual,  Report drafting"
Higher National Diploma,"Team player,  Adobe Flash,  Visual studio,  Good communication skills,  Analyst,  Designer,  Hard worker,  SQL,  java"
Diploma In Information Technology,"Linux,  Bash,  Php & Mysql,  Mikrotik,  HTML,  Nagios,  Laravel,  Cakephp,  Java"
Bachelor in Technology,"hfuewnc,  kasmxkmkm,  bxhn,  xghbqjwjdx,  bcHbhB,  SHXN,  all kind of skills,  NV,  edUNJND"
Practical Testing Software,"Quality centre,  JCL,  PL1,  Roscoe,  DB2,  Command Editor,  SQL,  COBOL,  Microsoft SQL Server Management Studio"
"Ar System (Administrator) BmcS Action Req. System""","Microsoft Access,  HTML,  Visual Basic,  O/S Dos,  O/S Windows 98,  Microsoft Word,  Ars Remedy,  It - Systems Integration,  Microsoft Powerpoint"
Software Engineering ,"ASP,  HTML,  C,  Java Script,  Unix,  SQL,  Pro C,  Ajax,  Java"
Diploma In Information Technology,"Android Studio,  Java,  .php,  C#,  codeigniter,  Android Developer,  php,  mvc,  Adsl Technical Support"
Bachelor of Technology: Software Development,"Microsoft Business Intelligence,  SSIS,  SSRS,  ETL,  Programming,  Training,  Configuration Sap Hcm,  Java,  C#"
Bachelor in Technology information Technology,"Debugs and corrects complex SAP module problems by using ABAP programming language to implement OSS notes.,  Designs,  \u2022,  Designs forms and screens for SAP modules using tools such as SAPscript and SmartForms and Adobe Forms . \u2022,  Creates specialized reports for SAP modules using ABAP programming languages. \u2022,  and tests complex programs for SAP modules and functions using ABAP programming language. \u2022,  develops,  codes,  Programming"
Busines Information Systems,"Functional Specifications Test Scripts and Business process modeling,  Software development skills,  Microsoft,  As Is Analysis,  System Design,  Requirements Analysis,  Test Packs,  Process Mapping Using Visio,  Hp Quality Testing"
Bachelor\u2019s Degree,"Design Patterns & Cloud Design Patterns,  Microsoft Visual C#,  SOLID & Domain Driven Design (DDD),  Windows Communication Foundation (WCF).,  ASP.NET MVC,  ADO.NET,  Continuous Delivery (CD),  ASP.NET Core,  Azure Service Fabric"
National Diploma in Information Technology,"Ranorex,  C#,  SQL,  selenium,  Automation"
Microsoft Certified Specialist,"Training,  Programming,  Systems Analysis,  Time Management,  Listening.,  Communication,  Flexible,  Programming.,  Management"
Electrical Engineering,"Eft And Payments,  Visa Dispute Resolution,  Programming Languages,  Databases,  Organisational Skills,  Telecommunication Protocols,  Visa Net Financial Management,  Metal Works"
High School,"Sketchup,  Autocad,  Website Design,  3d Max,  Draughtman,  Graphics"
Diploma in Information Technology,"MS Visual Studio,  Visual Basics,  Vb.Net,  Network Configuration,  PC Hardware Configuration,  Backup Configuration,  MS Windows,  Microsoft Office,  MS Visio"
Master Specialized Management And Marketing,"Business Development,  Customer Relation,  Satisfaction,  E - Commerce,  Sales,  Marketing"
Microsoft Exam 486,"Asp.Net,  Sql Server,  T-Sql,  C#.Net,  Xml,  Vb.Net,  UML,  Web Services,  html 5"
Bachelor of Computer Application,"AngularJS,  BackboneJS,  BootstrapJS,  HTML5,  ECMA6,  TypeScript,  OOJavaScript,  CSS,  HTML"
Bachelor Of Commerce Honours,"Typing,  Communication Skills,  Microsoft Office Skills"
Studying Microsoft Certified Solution Developer,"Dream Weaver Mx, Flash Mx, Fireworks Mx, Photoshop,  Html, Jdbc/Odbc, Web Logic, Ensight, Rodopi"
Bachelor of Science (Informationsystems),"Computer Science,  Java Development,  Information Systems,  C/C++ Development,  C#/Asp.Net Development,  Accountancy,  Supply Chain Management,  Marketing Management,  Financial Management"
Vzap It Certificate- 4 Months Full Time,"Sap Abap Development,  Java Development"
Beng Aeronautical And Aerospace,"Data Analysis,  Ms-Office Vba,  Business Objects Reports,  Crystal Xcelsius,  SQL,  Business Objects Universe Design,  Pl Sql"
Bachelor of Science (Computer Science),"CMMI and Projects management.,  Linux,  Database administration,  documentation,  web development,  system analysis,  Agile/Feature Driven/Test Driven/ Iterative Development,  Object Oriented Analysis and Design and development,  MySQL"
Bachelor of Laws,"Ability to work under pressure,  and coordination skills,  Governance skills,  Good knowledge of Government planning and reporting mechanisms,  Good communication skills (verbal and written),  Good time management skills,  Public Discourse and presentations skills,  Public service knowledge and decision making skills,  Research and development"
Nationa Diploma,"SQL,  Logging of Incidents,  Creating Test plans,  Creating Use cases ERD and Activity diagrams,  Writting queries on SQL,  Creating Test cases and executing them,  Sequence diagram,  Activity diagram,  Creating test cases"
Oracle Certified Associate Java SE7 Programmer,"CSS3,  java,  web design,  javascript,  sqlserver,  jsp,  html5,  mysql,  php"
National Diploma of INFORMATION TECHMOLOGY,"access and internet explore,  powerpoint,  excel,  I have Computer skill microsot(word),  Javascript,  SQl,  Tibco BW and,  I have a programming skills PHP,  vb net"
Bachelor of Science Computer Science,"Syspro,  Sage X3,  Development,  Implementation,  Server design,  Reporting,  Facial Recognition,  Syspro POS,  Network Design"
Computer Science and Geography,"C# Windows Forms,  MSSQL 2012,  MVC,  Microsoft Office,  team Player,  Linq,  ASP.Net Webfomrs,  CSS,  html"
Project Management,"Zend Framework 2,  Git,  Eclipse Kepler,  RESTFUL-API,  Highcharts,  PHP 5,  Wordpress,  Joomla,  SOAP"
Information Technology,"Visio,  UML,  SSRS,  SSIS,  DAX,  Database Developement,  ETL,  Report writting,  Data Warehousing"
Bachelor of Arts in  MIS ( Management Information Systems ),"Windows Xp,  Product Sourcing Abroad,  Google Adwords Advertising,  Customer Relations,  Pastel Accounting Or Bookkeeping,  Microsoft Office,  Understanding Of Imports Shipping Documentation,  Negotiation,  Importation"
Diploma In Marketing Communication,"Buildig and mentaining relationships,  Internet Search,  Microsoft Word,  Excell,  Powerpoint,  Microsoft Acces"
Bachelor of Science  Computer Science,"DHTML5,  Transact-SQL,  PHP5,  AJAX,  Cascading Styles Sheets 3.,  ASP.NET Forms (v4.0 and prior),  ADO.NET,  JQuery,  JAVA"
Postgraduate Diploma In Enterprise Management,"Pastel Accounting,  Delphi 7,  Xml & Xslt,  Com+,  HTML"
Bachelor in Technology IT: Software Engineering,"IBM Requirements Manager Composer,  Compile User Documentation,  Rational Software Architect,  Rational Team Concert,  MS Visio,  User Stories,  Project Management And Administration,  Software Testing,  Business Process Modeling"
Sap Bpc10 Associate,"Vb.Net, Vb,  Oracle10g,  Sap Bpc,  Rpg-Iv,  Sap Bw"
Bachelor of Science Computer Science,"Systems Analysts,  Solutions Architecture,  Infrastructure Architecture,  Project Management"
ITNIS (Information Technology Network Integrated Specialist),"Excel VBA Script (Excel Macros),  Javascript,  Git,  VtigerCRM,  Postgres PL/Pg SQL,  MySQL,  Java,  WHMCS,  Zend Framework 2"
2 Day Course In Javascript Fundamentals,"CSS2.1,  HTML4,  CSS3,  Javascript,  SASS,  Responsive Design,  HTML5,  JQuery,  Cross-device and browser compatability"
Three Year Diploma in IT Software Development,".NET,  Programming Logic and Design,  Business Information Systems,  SQL (all variants),  Interaction Design,  C#,  IT Project Management,  android,  Analytical Techniques"
MCTS - SQL Server,"EF,  CMS,  .Net,  SQL Server,  Asp.Net,  ADO .Net,  IIS,  CSharp And VB.Net,  Silverlight 4 "
Microsoft Accreditation,"Poeple Skills,  S Office 2010 and 2013,  MS Great Plains 2008,  MS Great Plains 2010,  M,  Time Management,  MS Office 2010 and 2013,  PHP,  JAVA Script"
Principles of Business Analysis,"Process Modelling,  Process Analysis,  Business Requirements Gatheringh,  ARIS Tool Modelling,  ARIS"
Software Development,"CSS,  ASP.NET,  C#,  Javascript,  HTML,  PHP,  ASP .NET MVC,  HTML5,  Jquery"
Bachelor of Science Computer Science,"Visual Basic,  Microsoft Access,  Ms-Dos,  Windows 2000,  Ultimus,  Borland Delphi,  Windows 95,  Borland C++ 3 & 4,  Windows 98"
Business Administration,"Microsoft office,  Microsoft outlook,  office administration,  information systems,  bookkeeping,  management,  &amp; Business Law"
Bachelor Of Science,"Microsoft Office Package, Microsoft Access,  Flash,  Microsoft Sql Server 2005,  Microsoft Sql Server Integration Services (Ssis),  Business Intelligence Skills,  Business/Systems Analysis Skills,  Microsoft Reporting Services"
Ituc Diploma,"DB2,  Cobol Mainframe,  Unix (Ibm Aix),  Business Objects,  Sungard Global One Treasury System,  ITIL,  Cics,  JCL,  Sql Server 2000"
Bachelor Of Sciences Degree,"Basic Hardware And Software Technician,  Html Developement (More Recently Asp Developement),  Basic Tcp/Ip P2p Network Creation,  Tutoring,  Data Capturing"
Bachelor of Science  Information Technology Management,"Office,  Webmethods,  Java,  C++"
Computer Science,"Windows,  Html / Dhtml,  Web Development,  Internet,  Asp.Net,  IIS,  Database Concepts,  Visual Studio 2005,  Systems Architecture"
Municipal Finance Management Program,"Java,  J2ee,  SQL,  UML,  EJB,  Ant,  Portlets,  Visual Basic,  Asp"
SAP ABAP Certification,"Technical Specifications,  Test Solutions,  User requirements anaylysis,  implement solutions,  train end user on solution,  Develop solution,  SAP Abap Developer,  SAP ABAP Developer,  Visual Basic .NET"
Mcom Informatics,"business writing,  business analysis,  process modelling,  communication,  Project management,  analytical,  presentation,  facilitation,  Computer Literacy (MS Office)"
National Diploma : Information Technology,"Neoload,  Visual Studio,  C++,  Pl/Sql,  C,  Tuxedo,  Sofware Testing,  Loadrunner,  Unix"
Bachelor in Technology : Information Technology,"Pl/Sql,  Systems Analysis,  Gap Analysis,  Impact Analysis,  Oracle Development,  PL/SQL Development,  Design,  Systems Design,  Analysis"
IBM WebSphere Message Broker Version 8 Solution,"Team Player,  Good Communicator,  Matured,  Self-Driven,  Good Professional Etiquette,  Submits to Authority,  Mule ESB,  Sonic ESB,  Spring Framework"
Certified Kanban Coach,"CSM,  Scaled Professional Scrum,  Kanban,  IIS,  PSM,  Asp.Net,  SPS,  SQL,  .Net"
Oracle Certified Professional (Ocp 9i),"Rman Backup & Recovery,  Toad,  Oracle Database Administrator 8i/9i/10g/11g,  Oracle Sql And Plsql,  Oracle Database Migrations,  Oracle Sql Loader,  Oracle Db Performance Tuning (Statspack,  Addm Etc),  Linux/Unix Shell Scripting"
ISEB/ISTQB Intermediate Certificate,"QTP,  ALM,  UFT,  Quality Centre (Testdirector),  Quicktest Professional,  Functional Testing,  Oracle,  Verification & Validation,  MS SQL"
Java Programmer,"Delphi Development,  Object Orientation Development,  Rendering Engines,  Opengl,  3dmax Studio Modeling (Including Maxscript),  Database Development,  Android Development,  C++,  Sql Language"
Ado.Net + Database Design,"Microsoft Office,  Windows 98, Xp, Vista,  Java Script,  Cobol/Flexgen,  Sql Server 2000 - 2008,  Final Builder,  Installshield"
Foundation Peak Performance Programme,"Problem Analysis,  Proactive Problem Management,  Trend Analysis,  including but not limited to: recreating the issues in a test environment,  knowledge Management,  Reporting,  Root Cause Anaysis,  Programming Logic And Design,  It Project Management"
PHP Engineer,"AJAX,  JSON,  Javascript,  PHP,  SQL,  MS ADO,  MySQL,  jQuery,  Classic ASP"
SAP Abap Certified,"sap workflow,  smartforms,  erp,  abap,  web dynpro,  CSS3,  C++,  Java,  Assembley Language"
SAP Abap with Netweaver,"Java,  SQL,  C#,  VB.Net,  Javascript,  HTML,  SAP ABAP,  mySQL,  php"
Master Of Computer Applications,"Sterling Intehgrator,  EDI"
Bachelor of Science  Computer Science and GIS,"Hibernate,  Spring MVC,  SQLite,  Java,  Tomcat,  SVN,  SQL,  JSON,  MySQL"
Senior Certificate,"CSS,  Laravel,  JSON,  HTML,  MySql,  PHP,  Computer Literacy,  Communication,  AngularJS"
Computer Science and mathematics,"sql developer,  rpg developer,  java developer,  database administartor,  support desk,  business intelligent,  C# developer,  C++ developer,  android developer"
Masters Degree In Business Leadership (M.B.L.),"Lecturing,  Computer Literate - Word,  Excel,  Powerpoint, Pastel,  Journalism - English And Afrikaans"
Bachelor of Commercem,"BI Cube Development,  Integration Developer,  Java Developer,  Dimensional  Modelling,  Database Development,  Visual BASIC Devloper,  Baan ERP Tools Development,  Self Service BI Practitoner,  Report Creation and Distibution"
TOGAF 9 Foundation,".Net,  C#,  Html/CSS,  Mentoring,  Team Lead,  Systems Analysis,  T-SQL,  MS SQL Server,  Javascript"
Bachelor of Science  Information Systems,"Asp .NET,  Mvc 4,  Html5,  SQL,  Xhtml,  Microsoft Office,  CSS,  C#,  Javascript"
Imports And Exports,"Customer Relations,  Email,  Sales,  Telephone Skills,  Typing,  Presentation Skills,  Strategic,  Microsoft Excel,  Networking"
Flash Programming,"Macromedia Flash,  A Whole Host Of Sound Creation / Editing Software,  Adobe Photoshop,  Macromedia Dreamweaver,  Macromedia Freehand,  Adobe Premiere,  Html,  Javascript,  Xml"
